p,q,r,output
PersonX never has fun.,to stay away from bullies,xAttr,0
PersonX avoids PersonY's wife,Don't make a commitment,xIntent,0
PersonX avoids PersonX's friends,Off- put,xReact,0
PersonX refuses to go on a date with PersonY.,not greedy,xNeed,0
PersonX never takes PersonY to see,PersonX need to ask sorry,xReact,0
PersonX isn't rarely driving PersonY nuts,sad,xAttr,0
PersonX fails to impress PersonY.,not honest,oReact,0
PersonX doesn't deny PersonY treatment,nonthreatening,xAttr,0
PersonX disproves PersonX's innocence,it is difficult,xReact,0
PersonX doesn't refuse to provide his insurance information,tired,xNeed,0
PersonX denies PersonY outlet,not impolite,xWant,0
PersonX doesn't avoid PersonY's friends,disappointed,xReact,0
PersonX prevents PersonY from staying,to save time,xAttr,0
PersonX prevents themselves from swerving off the road,don't make a serious point to Y,xReact,0
PersonX opposes PersonY's weight,unhappy,xReact,0
PersonX disengages PersonY's attention,annoyed,xAttr,0
PersonX hardly ever cuts the ribbon,Doesn't become nice,xAttr,0
PersonX doesn't discontinue bringing PersonY inside,stop person,xNeed,0
PersonX won nothing at the raffle,useful,xNeed,0
PersonX doesn't fail in the talent show,tired of saving,xAttr,0
PersonX avoids PersonY.,not blind,oReact,0
PersonX isn't rarely at PersonY's desk,bring gifts,xReact,0
PersonX spends some time in the absence of PersonY,Unable to don't get into college,oReact,0
PersonX doesn't refuse to bring PersonX's daughter,Hateful,xAttr,0
PersonX denies PersonY satisfaction,thinks about new friends,xEffect,0
PersonX denies PersonY access.,Doesn't stress about his technology class at school,oEffect,0
PersonX discourages PersonY.,to wade in the ocean,xReact,0
PersonX refuses PersonY's help.,impolite,xReact,0
PersonX avoids PersonX's mother,prudent and responsible,xAttr,0
PersonX refuses to speak to PersonY.,thinks about organizing newly unpacked stuff,xNeed,0
PersonX doesn't disengage PersonY's attention,frustrated,xAttr,0
PersonX stops speaking to PersonX's wife,cries,xAttr,0
PersonX doesn't unload all PersonY's things.,hide from their mother,xAttr,0
PersonX avoids looking PersonY in the eye,not solitary,xIntent,0
PersonX doesn't resist lying next to PersonY,to get a plan,oReact,0
PersonX refuses to speak of PersonY,don't talk to someone else,xWant,0
PersonX never flies to PersonY,productive,xWant,0
PersonX has problem with seeing what was wrong with PersonY,not Manipulate,oEffect,0
PersonX rarely accepts PersonY's proposal,know of personY,xEffect,0
PersonX refuses to cook breakfast for PersonY's family.,don't let them walk,oEffect,0
PersonX never doesn't visit PersonY's relatives,annoyed,xWant,0
PersonX dishonors PersonY,to know person y,xEffect,0
PersonX doesn't avoid PersonY,Questioned by personY,xEffect,0
PersonX gives PersonY no tips,not apologetic,xAttr,0
PersonX doesn't stop enjoying the music,kind,xAttr,0
PersonX doesn't give PersonY a disadvantage,receive an explanation,xEffect,0
PersonX doesn't disown a farm,damage the book,xNeed,0
PersonX doesn't stay at home and has no friends.,fought with,xAttr,0
PersonX unzips PersonY's jacket,tries to get attention from PersonX,xAttr,0
PersonX dissuades PersonY from leaving,not annoyed,xEffect,0
PersonX unties PersonY's shoes,don't let them walk,oReact,0
PersonX avoids PersonY,don't hide their feelings,xEffect,0
PersonX not by any means turns PersonY's back on PersonY,Doesn't remain unfocused,xAttr,0
PersonX doesn't refuse to talk to PersonY.,breaks up with person y,oReact,0
PersonX completely avoids PersonY,relieved,oReact,0
PersonX disapproves releasing PersonY,to break up,oReact,0
PersonX refuses PersonY,mature,xEffect,0
PersonX lacks dinner together,incapable,oWant,0
PersonX doesn't avoid new people,immoral,xReact,0
PersonX cuts no hair,don't leave,xReact,0
PersonX prevents themselves from loving video games,not petty,xEffect,0
PersonX makes PersonY feel like a failure.,Gets fire,oEffect,0
PersonX leaves without paying.,to make the waitress look bad,xAttr,0
Person X usually doesn't try to avoid Person Y.,go to a supermarket and buy a pie,xWant,0
PersonX doesn't refuse PersonY's help.,loyal to accomplices,xAttr,0
PersonX would avoid PersonY,yawns,xWant,0
PersonX remains unquiet,avenged,xWant,0
PersonX avoids looking PersonY in the eye,solitary,xIntent,0
PersonX no longer approaches PersonY's crush,disappointed,xReact,0
PersonX no longer cheers loudly,Don't do it anyway,xAttr,0
PersonX intentionally avoids and ignores PersonY,not unsatisfied,xReact,0
PersonX doesn't have a restraining order against them.,find a different profession,xWant,0
PersonX never doesn't listen to PersonY's favorite song.,fearful,xWant,0
"PersonX dines alone, without PersonY",unintelligent,xNeed,0
Personx doesn't read less books,loses self confidence,xReact,0
PersonX doesn't deny PersonY from food.,cries,oEffect,0
PersonX not at all swirls around PersonY,not unexpressive,xAttr,0
PersonX isn't computer illiterate and runs from computers.,to know person y's friend,xWant,0
PersonX doesn't fail to end the relationship,to think things over without influence,xEffect,0
PersonX seldomly doesn't invite PersonY to PersonX's house,irritated,xWant,0
PersonX resists baking a pie,to avoid persony,xAttr,0
PersonX doesn't want to hang out without PersonY,to make amends,xNeed,0
PersonX by no means asks PersonY to dance,frivolous,xIntent,0
PersonX doesn't let the other person fail,to listen to their selection,oReact,0
PersonX avoids new people,not Lonely,xWant,0
PersonX isn't forbidden from the party.,despondent,xWant,0
PersonX gives nothing to PersonY,saves energy,xReact,0
PersonX doesn't avoid touching PersonY,hairy,oEffect,0
PersonX is in no way late for class,Has to find new help,xReact,0
PersonX didn't unveil PersonY,decide to share the information,xWant,0
PersonX doesn't stop pulling PersonY into a hug,irresponsible,xEffect,0
PersonX avoids PersonY,don't relax,xWant,0
PersonX doesn't refuse to help PersonY.,to talk to the host,oEffect,0
PersonX stops coming after PersonY,Doesn't think about things he can't afford to buy,xAttr,0
PersonX doesn't avoid taking pictures,to show their guilt,xAttr,0
PersonX discontinues doing PersonY's research,not trustworthy,oReact,0
PersonX avoids PersonY's parents.,gets yelled at,oWant,0
PersonX disowns a farm,Be push above them,xNeed,0
PersonX is forbidden from the party.,despondent,xWant,0
PersonX is scarcely a basketball player,don't spend time doing other things,xWant,0
Person X doesn't avoid Person Y's friends.,irritated,oWant,0
PersonX disregards PersonY's value.,doesn't get elected,xReact,0
PersonX stops PersonY from studying,Like they don't want more tobacco,oWant,0
PersonX denies PersonY power,look for a good time to ask,oEffect,0
PersonX dismantles PersonY's organization,Humiliated in front of everyone,xWant,0
PersonX avoids stepping on PersonY's body,don't avoid the headache that will follow,xWant,0
PersonX hardly ever doesn't call customer service,scared,xEffect,0
PersonX gives PersonY nothing,unhelpful,xReact,0
PersonX doesn't avoid putting PersonY in the car,to report person x to their boss,oWant,0
PersonX doesn't disestablish PersonY organization,is told to wake up,xAttr,0
PersonX doesn't avoid PersonY.,to get into a fight with their wife,oWant,0
PersonX is scarcely a basketball player,distraught,xNeed,0
PersonX discourages PersonY.,go to sleep,xAttr,0
PersonX is avoiding PersonY.,is questioned,xAttr,0
PersonX stops racing PersonY's friend,not greedy,xEffect,0
PersonX doesn't stop the attack,wonder what they did wrong,oReact,0
PersonX doesn't resist giving PersonY a clue,introverted,xReact,0
PersonX fails high school,Questioned by personY,xWant,0
PersonX opposes taking PersonY to the store,angry,xIntent,0
Person x never does a good job,decisive,xReact,0
PersonX doesn't disapprove releasing PersonY,to be cooperative,xNeed,0
PersonX is computer illiterate and runs from computers.,serious,xReact,0
PersonX dismantles PersonY's organization,quite,xIntent,0
PersonX hardly ever doesn't call customer service,hurt,xIntent,0
PersonX disowns PersonY's cousin,suspicious,xAttr,0
PersonX rarely gives PersonY another chance,don't punish another person,oReact,0
PersonX is in no way pregnant with twins,unwanted,xWant,0
PersonX doesn't avoid PersonY.,bashful,oWant,0
PersonX completely doesn't avoid PersonY,serious,xEffect,0
PersonX didn't refuse to play checkers with PersonY.,to punish them,xWant,0
PersonX denies PersonY outlet,bothered,oEffect,0
PersonX avoids PersonX's friends.,Careless,xIntent,0
PersonX unties PersonY's hair,to be around person y,xAttr,0
PersonX refuses PersonY's gift.,not loving,xReact,0
PersonX discontinues lending PersonY the money,Unable to don't move,xAttr,0
PersonX disagrees with PersonY's point of view,not determined,oEffect,0
PersonX stops training PersonY's dog,cowardly,oEffect,0
PersonX not by any means kills PersonY's husband,don't be forgetful,xIntent,0
PersonX no longer doesn't cheer loudly,to not have partner be angry with them,xWant,0
PersonX rarely holds out PersonY's arms,don't know them better,xAttr,0
PersonX doesn't cease taking care of PersonX's children,No money,xReact,0
PersonX avoids PersonX's friends.,voice their decision,oReact,0
Person X is unable to fix my car,divorced,xWant,0
PersonX doesn't stop racing PersonY's friend,to thank persony,xReact,0
PersonX discontinues bringing PersonY inside,to keep to themselves,xReact,0
PersonX is in no way pregnant with twins,not forgettable,xNeed,0
PersonX is hardly dating PersonY,not poor,xEffect,0
PersonX doesn't deny PersonY power,seek out advice,xAttr,0
PersonX disowns PersonY's cousin,to hide his identity,xWant,0
PersonX hardly ever gives PersonY treatment,to get hurt by person Y,xAttr,0
PersonX disagrees with PersonY's point of view,to ask sorry to personY,xWant,0
PersonX has problem with seizing PersonY by the arm,don't be alone to work on some things,oWant,0
PersonX never visits PersonY's relatives,not timely,oReact,0
PersonX has problem with giving PersonY a book,antisocial,xEffect,0
Person X never doesn't meet anyone else,to be a good person,xReact,0
PersonX has won anything.,continue cleaning up,xEffect,0
PersonX restrains themselves from eating pumpkin pie,not advance in life,xAttr,0
PersonX doesn't discontinue doing PersonY's research,ask why personY had their face crossed,oWant,0
PersonX isn't in no way pregnant with twins,understanding,xWant,0
PersonX has no luck in online auctions,to cry,oEffect,0
PersonX avoids Person Y,not unhappy,xWant,0
PersonX unties PersonY's hair,not alone,xEffect,0
PersonX hardly lowers PersonY's head,not Petrify,xWant,0
PersonX doesn't avoid socializing with PersonY's girlfriend,stays home,xAttr,0
PersonX doesn't unzip PersonY's jacket,to end a transaction,xNeed,0
PersonX avoids dating others,Be annoy at person y,xWant,0
PersonX doesn't have trouble with ringing PersonY's bell,polite,xWant,0
PersonX never wants to see PersonY again.,don't kick out person y,oReact,0
PersonX barely doesn't do something nice for PersonY,rude,xReact,0
PersonX denies that they write stories,loses their reputation because of the gossip,xIntent,0
PersonX hardly ever calls customer service,to be alone,xWant,0
PersonX not by any means pushes PersonY's tongue,ignored,xWant,0
PersonX opposes PersonY's weight,Debate on fire person y,xWant,0
PersonX is scarcely a basketball player,not distraught,xNeed,0
PersonX never doesn't enter raffles,to be alone,xWant,0
PersonX doesn't oppose offering a job,gets yelled at,xNeed,0
PersonX disregards PersonY's value.,Argue with,xReact,0
PersonX restrains themselves from buying PersonY ice cream,unaccomodating,xReact,0
PersonX doesn't have problem with letting PersonY win,finds someone else to talk to,xReact,0
PersonX doesn't have problem with giving PersonY a book,outspoken,xIntent,0
PersonX unveiled PersonY,not Relieve,oWant,0
PersonX has no talents to sell to others.,good,xAttr,0
PersonX doesn't oppose PersonY,know person y's father,xNeed,0
Person could never find a time to ask.,to buy new bike,xAttr,0
PersonX discontinues turning PersonY's head,not obstinate,xIntent,0
PersonX displeases PersonX's father,to be calm,xEffect,0
PersonX wants to avoid time with PersonY.,to go on a diet,xReact,0
PersonX hardly ever supports PersonY's family,dubious,xEffect,0
PersonX doesn't avoid taking pictures,to be asked out by PersonY,xAttr,0
PersonX no longer doesn't approach PersonY's crush,to indicate their displeasure,xNeed,0
PersonX opposes PersonY,not sad,oEffect,0
PersonX denies that they write stories,Doesn't lose their reputation because of the gossip,xIntent,0
PersonX doesn't want to avoid time with PersonY.,distances himself,xIntent,0
PersonX refuses to consider the article.,Doesn't sit down,xWant,0
PersonX is ungrateful to everyone,not worried,xEffect,0
PersonX hardly comes to PersonY agreement,don't move away,xReact,0
PersonX by no means doesn't crash the car,mean,xIntent,0
PersonX spends some time without PersonY,Don't decide to move away from the farm,xEffect,0
PersonX avoids meeting PersonY.,not Reject,xEffect,0
PersonX completely avoids PersonY,don't feel free,xReact,0
PersonX fails to bring PersonY a spare key,preoccupied,xAttr,0
PersonX resists baking a pie,not correct,xNeed,0
PersonX avoids Person Y,feels left out,xEffect,0
PersonX is barely having a yard sale,dishonest,xNeed,0
PersonX avoid hide and seek.,to ignore PersonY,xReact,0
PersonX pays PersonY disrespects,not joyous,oReact,0
PersonX disestablishes PersonY organization,to know PersonY's friend,xWant,0
PersonX isn't no longer unafraid,secretive,xReact,0
PersonX refuses to invite PersonY's girlfriend,skeptical,oWant,0
PersonX avoids releasing PersonY's hand,Don't call her,oReact,0
PersonX refuses PersonY present.,Don't find other romantic interests,xReact,0
PersonX discontinues doing PersonY's research,irritated,oReact,0
PersonX stops talking.,To haven't known person y,xWant,0
PersonX wants to avoid time with PersonY.,to pretend they don't know Y,xIntent,0
PersonX doesn't displease PersonX's father,to make a new friend,xAttr,0
PersonX disjoins the army,to disappear,xIntent,0
Person X doesn't dislike Person Y's hair,exercise daily,oReact,0
PersonX not at all doesn't provide PersonY service,ignored,oWant,0
PersonX avoids PersonY's eyes,not Satisfy,xAttr,0
PersonX avoids eye contact with PersonY,don't have someone in their corner,xWant,0
PersonX isn't unwilling to share,receives a failing grade,oWant,0
PersonX rarely doesn't give PersonY some tips,to show persony,xNeed,0
PersonX isn't on no condition invited to a party,is yelled at,xWant,0
PersonX by no means goes fishing with PersonY's father,Doesn't lose the job,xWant,0
PersonX avoids PersonY.,to make new friends,xWant,0
PersonX undos PersonY's function.,closed-minded,xIntent,0
PersonX doesn't discontinue bringing PersonY inside,personY is ignored,xWant,0
PersonX refuses to talk to PersonY.,PersonY is resentful,oReact,0
PersonX never doesn't listen to PersonY's favorite song.,unhappy,oReact,0
PersonX isn't computer illiterate and runs from computers.,hide from their mother,xWant,0
PersonX didn't stop smoking cigarettes.,spiteful,xWant,0
PersonX doesn't resist kissing PersonY's forehead,to go to school,xReact,0
PersonX unties PersonY's shoes,don't ask around about PersonY,oWant,0
PersonX will never get married,left out,xAttr,0
PersonX gets a ride home without PersonY,scared,xWant,0
PersonX rarely doesn't give PersonY another chance,to punish another person,oReact,0
PersonX doesn't refuse to pull the trigger,to know PersonY,xAttr,0
PersonX avoids moving back home,not trustworthy,xWant,0
PersonX denies PersonY service.,Don't receive an explanation,oWant,0
PersonX under no circumstances plays professional basketball,not distant,xEffect,0
PersonX doesn't avoid PersonX's friends.,to spend time doing other things,xWant,0
PersonX refuses to give PersonY evidence,don't stay away from others,xIntent,0
PersonX refuses to set foot in Texas,don't buy foods,xWant,0
PersonX avoids PersonY's friends,weak,xWant,0
PersonX wallows in failure,finds someone else to talk to,xAttr,0
PersonX disowns PersonX's mom,don't find time to train,xAttr,0
PersonX rarely holds out PersonY's arms,unsure how PersonX is doing,xWant,0
PersonX is not at all the best gift PersonY had ever gotten,picky,xAttr,0
Person X doesn't detest and avoids person Y,hateful,xReact,0
PersonX denies PersonY satisfaction,satisfied,xAttr,0
PersonX never doesn't give it to PersonX's mother,to have received service from person y,oReact,0
PersonX rarely gives PersonY another chance,don't let the hair flow,xAttr,0
PersonX unloads all PersonX's things.,see personY's hair,oEffect,0
PersonX under no circumstances doesn't try to talk to PersonY,fades into cloud,oReact,0
PersonX never doesn't wear PersonY's helmet,is asked to help out,xWant,0
PersonX avoids PersonX's friends,do it themselves,xAttr,0
PersonX hardly doesn't like PersonY,to keep trying,xAttr,0
PersonX gives PersonY no tips,don't dismiss the article,xNeed,0
PersonX disowns a farm,not awkward,xAttr,0
PersonX stops pulling PersonY into a hug,not sad,xAttr,0
PersonX doesn't undrape herself across chest,appreciative,xEffect,0
PersonX buys no new clothes,not unaccustomed,xAttr,0
PersonX not by any means gives PersonY the information,to find help elsewhere,oWant,0
PersonX refuses to help PersonY,to be lazy,xWant,0
PersonX dislikes PersonY's friend.,get others to talk to Person X,oEffect,0
PersonX doesn't refuse to play beach volleyball,to be indifferent,xReact,0
PersonX doesn't discontinue doing PersonY's research,avoids personY,oEffect,0
PersonX on no condition drops PersonY's arms,too far out,xAttr,0
PersonX under no circumstances doesn't work with children,plan for meet a person,xNeed,0
PersonX denys PersonY treatment,like a liar,xNeed,0
PersonX prevents themselves from lending a hand,responsible,xReact,0
PersonX avoids PersonY.,not quite,xWant,0
Person X dislikes Person Y's hair,Don't play others sports,xNeed,0
PersonX stops calling PersonY friend,not incompetant,xWant,0
PersonX denies PersonY's involvement,watchful,oReact,0
PersonX refuses to get out of PersonY's car,don't be alone,oReact,0
PersonX opposes paying PersonY wages,don't be around person y,xNeed,0
PersonX rarely gives PersonY's hand,To never don't talk to PersonY,xReact,0
PersonX doesn't untie PersonY's hair,consciousness fades in and out,oWant,0
PersonX avoids PersonX's mother,hustling,xWant,0
PersonX never doesn't leave the house.,unhealthy,xWant,0
PersonX discontinues calling PersonY's wife,to confront personx,oReact,0
PersonX disagrees to try it,don't sustain the marriage,xReact,0
PersonX barely settles PersonX's affairs,don't start being a better friend,xReact,0
PersonX wants nothing to do with PersonY,Doesn't get angry,xNeed,0
PersonX doesn't refuse to bring PersonX's daughter,distant,oEffect,0
PersonX not at all provides PersonY service,not useless,xIntent,0
PersonX avoids PersonY's affairs,to give cookies to others,xReact,0
PersonX doesn't refuse to meet PersonX's mom,to leave PersonY,xWant,0
PersonX refuses to pull the trigger,gets  accustomed,xReact,0
PersonX stops reducing PersonX's costs,mean,xIntent,0
PersonX stopped PersonY's course.,Don't do more interviews,xAttr,0
PersonX has trouble with throwing PersonY out,frugal,oReact,0
PersonX avoids meeting PersonY.,rejected,xEffect,0
PersonX avoids PersonX's family.,to be mean,xAttr,0
PersonX seldomly invites PersonY to PersonX's house,like a liar,xNeed,0
PersonX never enters raffles,to shun PersonY,xAttr,0
PersonX doesn't refuse to bring PersonX's daughter,sad,xIntent,0
PersonX denies that they write stories,gets confronted,xAttr,0
PersonX doesn't disapprove releasing PersonY,thoughtful,xIntent,0
PersonX will never get married,anxious to be hired,xEffect,0
PersonX is unable to conceive PersonY's child,not hurt,xAttr,0
PersonX disapproves releasing PersonY,not appreciative,xAttr,0
PersonX spends some time without PersonY,That personX can't be judgmental,xEffect,0
PersonX dislikes tricks,don't attend an interview,xReact,0
PersonX brings no one,not like the place,xWant,0
PersonX refuses to contact PersonY,Don't agree to race each other,xWant,0
PersonX isn't scarcely playing catch,Cancel plans with personY,xReact,0
PersonX is computer illiterate and runs from computers.,don't avoid being punished,xReact,0
PersonX persuades PersonY to stop,spoiled,xEffect,0
PersonX doesn't fail to add PersonY,to thank personx,oWant,0
PersonX never doesn't leave the house.,to avoid X in the future,xEffect,0
PersonX no longer lays PersonY off,had a reason to be crazy,xReact,0
PersonX never has a baby.,Like being social,xReact,0
PersonX doesn't oppose PersonY's stance,warm,xAttr,0
PersonX doesn't cease taking care of PersonX's children,friendly,xNeed,0
PersonX avoids looking PersonY in the eye,not unsupportive,oEffect,0
PersonX not at all doesn't persuade PersonY to leave,to keep it that way,xReact,0
PersonX avoids releasing PersonY's hand,to avoid offending PersonY,oReact,0
PersonX avoids PersonY's eyes,not lonely,xReact,0
PersonX not by any means goes to PersonY's car,uncomfortable,xReact,0
PersonX avoids seeing PersonY's family.,to be free,xWant,0
PersonX doesn't refuse to make love to PersonY,get person y fired,xEffect,0
PersonX isn't hardly with PersonY's friends,He wants to catch fish at first,xIntent,0
PersonX opposes PersonY,unmotivated,xReact,0
PersonX by no means asks PersonY to dance,good,xAttr,0
PersonX refuses to talk to PersonY.,quiet,xWant,0
PersonX not by any means doesn't give PersonY the information,does not have anymore duties,oWant,0
PersonX by no means returns PersonY's phone,spiteful,oReact,0
PersonX makes a unsatisfactory grade,don't forget about leaving,xWant,0
PersonX avoids PersonY.,Don't go in a store,xAttr,0
PersonX is by no means a really nice guy,don't visit a museum,xReact,0
PersonX ceases playing ball,Don't avoid getting married,xWant,0
PersonX doesn't disown PersonX's mom,less strict,xWant,0
PersonX will never return.,Don't make amends to personX,xEffect,0
