p,q,r,output
PersonX does not create PersonY atmosphere,make sure they could survive,xWant,1
PersonX does not create PersonY atmosphere,to try again,xWant,1
PersonX does not create PersonY atmosphere,to get inspiration,xWant,1
PersonX does not take advantage of PersonY,happy,oReact,1
PersonX does not take advantage of PersonY,thankful,oReact,1
PersonX does not take advantage of PersonY,principled,xAttr,1
PersonX does not take advantage of PersonY,ethical,xAttr,1
PersonX does not take advantage of PersonY,Nice,xAttr,1
PersonX does not take advantage of PersonY,Selfless,xAttr,1
PersonX does not take advantage of PersonY,Caring,xAttr,1
PersonX does not take advantage of PersonY,caring,xAttr,1
PersonX does not take advantage of PersonY,giving,xAttr,1
PersonX does not take advantage of PersonY,fair,xAttr,1
PersonX does not take advantage of PersonY,honest,xAttr,1
PersonX does not take advantage of PersonY,trustworthy,xAttr,1
PersonX does not take advantage of PersonY,Asked on a date,xEffect,1
PersonX does not take advantage of PersonY,Enters into long term relationship,xEffect,1
PersonX does not take advantage of PersonY,asked out by personY,xEffect,1
PersonX does not take advantage of PersonY,Kissed by personY,xEffect,1
PersonX does not take advantage of PersonY,to be honorable,xIntent,1
PersonX does not take advantage of PersonY,to be trustworthy,xIntent,1
PersonX does not take advantage of PersonY,to be kind,xIntent,1
PersonX does not take advantage of PersonY,to be thoughtful,xIntent,1
PersonX does not take advantage of PersonY,satisfied,xReact,1
PersonX does not take advantage of PersonY,happy,xReact,1
PersonX does not take advantage of PersonY,cared for,xReact,1
PersonX does not take advantage of PersonY,loving,xReact,1
PersonX does not take advantage of PersonY,trustworthy,xReact,1
PersonX does not take advantage of PersonY,good,xReact,1
PersonX does not take advantage of PersonY,kind,xReact,1
PersonX does not take advantage of PersonY,vindicated,xReact,1
PersonX does not take advantage of PersonY,to love them,xWant,1
PersonX does not take advantage of PersonY,take care of them,xWant,1
PersonX does not take advantage of PersonY,to be more careful,xWant,1
PersonX does not take advantage of PersonY,to be attentive,xWant,1
PersonX does not take advantage of PersonY,to respect them,xWant,1
PersonX does not take advantage of PersonY,to love them,xWant,1
PersonX does not take advantage of PersonY,be kind,xWant,1
PersonX does not take advantage of PersonY,be ethical,xWant,1
PersonX does not get another job,content,xAttr,1
PersonX does not get another job,complacent,xAttr,1
PersonX does not get another job,freed,xAttr,1
PersonX does not get another job,tired,xAttr,1
PersonX does not get another job,poor,xAttr,1
PersonX does not get another job,wrecked,xAttr,1
PersonX does not get another job,unemployed,xAttr,1
PersonX does not get another job,they become homeless,xEffect,1
PersonX does not get another job,goes broke,xEffect,1
PersonX does not get another job,evicted,xEffect,1
PersonX does not get another job,sighs in frustration,xEffect,1
PersonX does not get another job,gets rejected,xEffect,1
PersonX does not get another job,to be lazy,xIntent,1
PersonX does not get another job,feel sad,xIntent,1
PersonX does not get another job,to be unconstrained,xIntent,1
PersonX does not get another job,remain free,xIntent,1
PersonX does not get another job,to not spend enough time performing a job search,xNeed,1
PersonX does not get another job,to not perform well at the interview,xNeed,1
PersonX does not get another job,to apply for employment,xNeed,1
PersonX does not get another job,to not be offered the position,xNeed,1
PersonX does not get another job,sad,xReact,1
PersonX does not get another job,upset,xReact,1
PersonX does not get another job,worried,xReact,1
PersonX does not get another job,downtrodden,xReact,1
PersonX does not get another job,upset with themselves,xReact,1
PersonX does not get another job,poor,xReact,1
PersonX does not get another job,irresponsible,xReact,1
PersonX does not get another job,to try harder,xWant,1
PersonX does not get another job,to do a better job,xWant,1
PersonX does not get another job,to spend more effort preparing for the interview,xWant,1
PersonX does not get another job,to improve their job skills,xWant,1
PersonX does not get another job,to continue looking,xWant,1
PersonX does not get another job,to be interviewed,xWant,1
PersonX does not get another job,to be offered a position,xWant,1
PersonX does not get another job,to go back to school,xWant,1
PersonX does not get another job,to quit his job,xWant,1
PersonX does not give PersonY PersonX's hand,becomes angry,oEffect,1
PersonX does not give PersonY PersonX's hand,becomes frustrated,oEffect,1
PersonX does not give PersonY PersonX's hand,N\A,oEffect,1
PersonX does not give PersonY PersonX's hand,rejected,oReact,1
PersonX does not give PersonY PersonX's hand,depressed,oReact,1
PersonX does not give PersonY PersonX's hand,to respect PersonX's wishes,oWant,1
PersonX does not give PersonY PersonX's hand,to try to hold PersonX's hand anyway,oWant,1
PersonX does not give PersonY PersonX's hand,to retaliate against PersonX,oWant,1
PersonX does not give PersonY PersonX's hand,to avoid PersonX,oWant,1
PersonX does not give PersonY PersonX's hand,to make up,oWant,1
PersonX does not give PersonY PersonX's hand,talk it out,oWant,1
PersonX does not give PersonY PersonX's hand,aloof,xAttr,1
PersonX does not give PersonY PersonX's hand,detached,xAttr,1
PersonX does not give PersonY PersonX's hand,snubbing,xAttr,1
PersonX does not give PersonY PersonX's hand,germophobic,xAttr,1
PersonX does not give PersonY PersonX's hand,cautious,xAttr,1
PersonX does not give PersonY PersonX's hand,rude,xAttr,1
PersonX does not give PersonY PersonX's hand,unsympathetic,xAttr,1
PersonX does not give PersonY PersonX's hand,cold,xAttr,1
PersonX does not give PersonY PersonX's hand,uncaring,xAttr,1
PersonX does not give PersonY PersonX's hand,unkind,xAttr,1
PersonX does not give PersonY PersonX's hand,to be alone,xIntent,1
PersonX does not give PersonY PersonX's hand,find a new mate,xIntent,1
PersonX does not give PersonY PersonX's hand,to be with PersonY,xNeed,1
PersonX does not give PersonY PersonX's hand,to have PersonY reach out to them,xNeed,1
PersonX does not give PersonY PersonX's hand,to abhor PersonY,xNeed,1
PersonX does not give PersonY PersonX's hand,to be near PersonY,xNeed,1
PersonX does not give PersonY PersonX's hand,be angry,xNeed,1
PersonX does not give PersonY PersonX's hand,be upset,xNeed,1
PersonX does not give PersonY PersonX's hand,tired,xReact,1
PersonX does not give PersonY PersonX's hand,bored,xReact,1
PersonX does not give PersonY PersonX's hand,lonely,xReact,1
PersonX does not give PersonY PersonX's hand,sad,xReact,1
PersonX does not give PersonY PersonX's hand,regretful,xReact,1
PersonX does not give PersonY PersonX's hand,torn,xReact,1
PersonX does not give PersonY PersonX's hand,selfish,xReact,1
PersonX does not give PersonY PersonX's hand,mean,xReact,1
PersonX does not give PersonY PersonX's hand,to do it on their own,xWant,1
PersonX does not give PersonY PersonX's hand,to avoid PersonY,xWant,1
PersonX does not give PersonY PersonX's hand,to get away from PersonY,xWant,1
PersonX does not give PersonY PersonX's hand,to continue ignoring PersonY,xWant,1
PersonX does not give PersonY PersonX's hand,to remain out of contact,xWant,1
PersonX does not give PersonY PersonX's hand,"to maintain this ""hands-off"" approach",xWant,1
PersonX does not give PersonY PersonX's hand,to leave,xWant,1
PersonX does not give PersonY PersonX's hand,to go home,xWant,1
PersonX does not bleach PersonY's hair,has original hair color,oEffect,1
PersonX does not bleach PersonY's hair,goes unnoticed,oEffect,1
PersonX does not bleach PersonY's hair,confused,oReact,1
PersonX does not bleach PersonY's hair,annoyed,oReact,1
PersonX does not bleach PersonY's hair,grateful,oReact,1
PersonX does not bleach PersonY's hair,frustrated,oReact,1
PersonX does not bleach PersonY's hair,disappointed,oReact,1
PersonX does not bleach PersonY's hair,like asking someone else,oReact,1
PersonX does not bleach PersonY's hair,yell at X for messing up her hair,oWant,1
PersonX does not bleach PersonY's hair,demand a refund for the poor job,oWant,1
PersonX does not bleach PersonY's hair,to yell at personx,oWant,1
PersonX does not bleach PersonY's hair,to get a refund,oWant,1
PersonX does not bleach PersonY's hair,wise,xAttr,1
PersonX does not bleach PersonY's hair,hesitant,xAttr,1
PersonX does not bleach PersonY's hair,intelligent,xAttr,1
PersonX does not bleach PersonY's hair,thoughtful,xAttr,1
PersonX does not bleach PersonY's hair,unskilled,xAttr,1
PersonX does not bleach PersonY's hair,unwilling,xAttr,1
PersonX does not bleach PersonY's hair,loyal,xAttr,1
PersonX does not bleach PersonY's hair,respectful,xAttr,1
PersonX does not bleach PersonY's hair,to refuse service,xIntent,1
PersonX does not bleach PersonY's hair,to avoid people,xIntent,1
PersonX does not bleach PersonY's hair,responsible,xIntent,1
PersonX does not bleach PersonY's hair,cautious,xIntent,1
PersonX does not bleach PersonY's hair,to not mess it up,xIntent,1
PersonX does not bleach PersonY's hair,to not take up the time,xIntent,1
PersonX does not bleach PersonY's hair,offer Y a hair dye job,xNeed,1
PersonX does not bleach PersonY's hair,misread the instructions,xNeed,1
PersonX does not bleach PersonY's hair,to wash the hair,xNeed,1
PersonX does not bleach PersonY's hair,dry the hair,xNeed,1
PersonX does not bleach PersonY's hair,uncooperative,xReact,1
PersonX does not bleach PersonY's hair,angry,xReact,1
PersonX does not bleach PersonY's hair,curious,xReact,1
PersonX does not bleach PersonY's hair,contented,xReact,1
PersonX does not bleach PersonY's hair,relieved,xReact,1
PersonX does not bleach PersonY's hair,pleased,xReact,1
PersonX does not bleach PersonY's hair,not pressured,xReact,1
PersonX does not bleach PersonY's hair,not nervous about messing up,xReact,1
PersonX does not bleach PersonY's hair,end up dying the hair a darker color,xWant,1
PersonX does not bleach PersonY's hair,apologize to the client,xWant,1
PersonX does not bleach PersonY's hair,wash their hair,xWant,1
PersonX does not bleach PersonY's hair,show it off,xWant,1
PersonX does not bleach PersonY's hair,lighten  the hair,xWant,1
PersonX does not bleach PersonY's hair,color the hair,xWant,1
PersonX does not bleach PersonY's hair,to cut their hair,xWant,1
PersonX does not bleach PersonY's hair,to dry their hair,xWant,1
PersonX does not provide PersonY environment,loses opportunity,oEffect,1
PersonX does not provide PersonY environment,has not enough space,oEffect,1
PersonX does not provide PersonY environment,annoyed,oReact,1
PersonX does not provide PersonY environment,controlled,oReact,1
PersonX does not provide PersonY environment,angry,oReact,1
PersonX does not provide PersonY environment,annoyed,oReact,1
PersonX does not provide PersonY environment,to get an environment,oWant,1
PersonX does not provide PersonY environment,to find their own space,oWant,1
PersonX does not provide PersonY environment,rude,xAttr,1
PersonX does not provide PersonY environment,unkind,xAttr,1
PersonX does not provide PersonY environment,careless,xAttr,1
PersonX does not provide PersonY environment,stingy,xAttr,1
PersonX does not provide PersonY environment,unyielding,xAttr,1
PersonX does not provide PersonY environment,unhelpful,xAttr,1
PersonX does not provide PersonY environment,Careless,xAttr,1
PersonX does not provide PersonY environment,Mean,xAttr,1
PersonX does not provide PersonY environment,has more room,xEffect,1
PersonX does not provide PersonY environment,benefits,xEffect,1
PersonX does not provide PersonY environment,to stop Person Y,xIntent,1
PersonX does not provide PersonY environment,to be in control,xIntent,1
PersonX does not provide PersonY environment,to harm them,xIntent,1
PersonX does not provide PersonY environment,to spite them,xIntent,1
PersonX does not provide PersonY environment,rude,xReact,1
PersonX does not provide PersonY environment,irresponsible,xReact,1
PersonX does not provide PersonY environment,powerful,xReact,1
PersonX does not provide PersonY environment,strong,xReact,1
PersonX does not provide PersonY environment,bad,xReact,1
PersonX does not provide PersonY environment,nervous,xReact,1
PersonX does not provide PersonY environment,devious,xReact,1
PersonX does not provide PersonY environment,proud,xReact,1
PersonX does not provide PersonY environment,to stay mean,xWant,1
PersonX does not provide PersonY environment,to upset Y,xWant,1
PersonX does not provide PersonY environment,to be alone,xWant,1
PersonX does not provide PersonY environment,to make Y mad,xWant,1
PersonX does not provide PersonY environment,to avoid PersonY,xWant,1
PersonX does not provide PersonY environment,to ignore PersonY,xWant,1
PersonX does not provide PersonY environment,to irritate person y,xWant,1
PersonX does not provide PersonY environment,to make fun,xWant,1
PersonX does not carry PersonY along,is lost,oEffect,1
PersonX does not carry PersonY along,is confused,oEffect,1
PersonX does not carry PersonY along,gets curious,oEffect,1
PersonX does not carry PersonY along,retain the hovering questions to ask later,oEffect,1
PersonX does not carry PersonY along,left out,oReact,1
PersonX does not carry PersonY along,worried,oReact,1
PersonX does not carry PersonY along,sad,oReact,1
PersonX does not carry PersonY along,rejected,oReact,1
PersonX does not carry PersonY along,to go with PersonX,oWant,1
PersonX does not carry PersonY along,to keep going,oWant,1
PersonX does not carry PersonY along,some help,oWant,1
PersonX does not carry PersonY along,to not be alone,oWant,1
PersonX does not carry PersonY along,to get experience,oWant,1
PersonX does not carry PersonY along,to go along to the destination,oWant,1
PersonX does not carry PersonY along,weak,xAttr,1
PersonX does not carry PersonY along,selfish,xAttr,1
PersonX does not carry PersonY along,unhelpful,xAttr,1
PersonX does not carry PersonY along,careless,xAttr,1
PersonX does not carry PersonY along,undependable,xAttr,1
PersonX does not carry PersonY along,deserter,xAttr,1
PersonX does not carry PersonY along,unhelpful,xAttr,1
PersonX does not carry PersonY along,inconsiderate,xAttr,1
PersonX does not carry PersonY along,to be alone,xIntent,1
PersonX does not carry PersonY along,to do something alone,xIntent,1
PersonX does not carry PersonY along,to be free,xIntent,1
PersonX does not carry PersonY along,to know PersonY,xNeed,1
PersonX does not carry PersonY along,to be asked by PersonY to go with them,xNeed,1
PersonX does not carry PersonY along,to go to a destination,xNeed,1
PersonX does not carry PersonY along,to be near PersonX,xNeed,1
PersonX does not carry PersonY along,alone,xReact,1
PersonX does not carry PersonY along,lonely,xReact,1
PersonX does not carry PersonY along,sad,xReact,1
PersonX does not carry PersonY along,determined,xReact,1
PersonX does not carry PersonY along,motivated,xReact,1
PersonX does not carry PersonY along,free,xReact,1
PersonX does not carry PersonY along,lonely,xReact,1
PersonX does not carry PersonY along,to be alone,xWant,1
PersonX does not carry PersonY along,to travel freely,xWant,1
PersonX does not carry PersonY along,them to do their own work,xWant,1
PersonX does not carry PersonY along,focus on themself,xWant,1
PersonX does not carry PersonY along,to leave PersonY alone,xWant,1
PersonX does not carry PersonY along,to avoid PersonY,xWant,1
PersonX does not carry PersonY along,to get to their destination,xWant,1
PersonX does not carry PersonY along,to complete the task,xWant,1
PersonX does not speak to PersonY,confused,oReact,1
PersonX does not speak to PersonY,ignored,oReact,1
PersonX does not speak to PersonY,offended,oReact,1
PersonX does not speak to PersonY,annoyed,oReact,1
PersonX does not speak to PersonY,ostracized,oReact,1
PersonX does not speak to PersonY,ignored,oReact,1
PersonX does not speak to PersonY,to apologize,oWant,1
PersonX does not speak to PersonY,get personx back,oWant,1
PersonX does not speak to PersonY,to be friendly,oWant,1
PersonX does not speak to PersonY,to be heard,oWant,1
PersonX does not speak to PersonY,to avoid PersonX,oWant,1
PersonX does not speak to PersonY,to talk to someone else,oWant,1
PersonX does not speak to PersonY,angry,xAttr,1
PersonX does not speak to PersonY,inattentive,xAttr,1
PersonX does not speak to PersonY,rude,xAttr,1
PersonX does not speak to PersonY,mad,xAttr,1
PersonX does not speak to PersonY,insensitive,xAttr,1
PersonX does not speak to PersonY,careless,xAttr,1
PersonX does not speak to PersonY,unsociable,xAttr,1
PersonX does not speak to PersonY,upset,xAttr,1
PersonX does not speak to PersonY,angry,xAttr,1
PersonX does not speak to PersonY,leaves y,xEffect,1
PersonX does not speak to PersonY,calls y later,xEffect,1
PersonX does not speak to PersonY,to be rude,xIntent,1
PersonX does not speak to PersonY,to make a point,xIntent,1
PersonX does not speak to PersonY,to avoid PersonY,xIntent,1
PersonX does not speak to PersonY,angry at PersonY,xIntent,1
PersonX does not speak to PersonY,to not trust PersonY,xIntent,1
PersonX does not speak to PersonY,to know PersonY,xNeed,1
PersonX does not speak to PersonY,to be in the same place as PersonY,xNeed,1
PersonX does not speak to PersonY,to be angry with PersonY,xNeed,1
PersonX does not speak to PersonY,sad,xReact,1
PersonX does not speak to PersonY,annoyed,xReact,1
PersonX does not speak to PersonY,unphased,xReact,1
PersonX does not speak to PersonY,stubborn,xReact,1
PersonX does not speak to PersonY,pleased,xReact,1
PersonX does not speak to PersonY,content,xReact,1
PersonX does not speak to PersonY,untrusting,xReact,1
PersonX does not speak to PersonY,cautious,xReact,1
PersonX does not speak to PersonY,leery,xReact,1
PersonX does not speak to PersonY,to be alone,xWant,1
PersonX does not speak to PersonY,to allow the person,xWant,1
PersonX does not speak to PersonY,to get over them,xWant,1
PersonX does not speak to PersonY,to be without others,xWant,1
PersonX does not speak to PersonY,to shun them,xWant,1
PersonX does not speak to PersonY,to unfriend them,xWant,1
PersonX does not speak to PersonY,to avoid PersonY,xWant,1
PersonX does not speak to PersonY,to talk to someone else,xWant,1
PersonX does not hire a trainer,loses work,oEffect,1
PersonX does not hire a trainer,misses out on job,oEffect,1
PersonX does not hire a trainer,independent,xAttr,1
PersonX does not hire a trainer,unwilling,xAttr,1
PersonX does not hire a trainer,tight-fisted,xAttr,1
PersonX does not hire a trainer,self-disciplined,xAttr,1
PersonX does not hire a trainer,self-sufficient,xAttr,1
PersonX does not hire a trainer,lazy,xAttr,1
PersonX does not hire a trainer,capable,xAttr,1
PersonX does not hire a trainer,competent,xAttr,1
PersonX does not hire a trainer,gains weight,xEffect,1
PersonX does not hire a trainer,stops exercising,xEffect,1
PersonX does not hire a trainer,don't excel,xEffect,1
PersonX does not hire a trainer,don't get in shape,xEffect,1
PersonX does not hire a trainer,Doesn't work out efficiently,xEffect,1
PersonX does not hire a trainer,Doesn't attain fitness goals,xEffect,1
PersonX does not hire a trainer,to save money,xIntent,1
PersonX does not hire a trainer,to figure things out on their own,xIntent,1
PersonX does not hire a trainer,be their own trainer,xIntent,1
PersonX does not hire a trainer,happy,xReact,1
PersonX does not hire a trainer,accomplished,xReact,1
PersonX does not hire a trainer,mean,xReact,1
PersonX does not hire a trainer,rude,xReact,1
PersonX does not hire a trainer,capable,xReact,1
PersonX does not hire a trainer,thrifty,xReact,1
PersonX does not hire a trainer,regretful,xReact,1
PersonX does not hire a trainer,wishes they had a trainer,xReact,1
PersonX does not hire a trainer,to train on the cheap,xWant,1
PersonX does not hire a trainer,to train on their own,xWant,1
PersonX does not hire a trainer,to be lazy,xWant,1
PersonX does not hire a trainer,to workout by themselves,xWant,1
PersonX does not hire a trainer,to work out with other people,xWant,1
PersonX does not hire a trainer,to work out alone,xWant,1
PersonX does not hire a trainer,to save money,xWant,1
PersonX does not hire a trainer,to be slothful,xWant,1
PersonX does not pay PersonY's back,They have to ask personX about the owed money,oEffect,1
PersonX does not pay PersonY's back,They have to borrow money from family and friends,oEffect,1
PersonX does not pay PersonY's back,looks for PersonX,oEffect,1
PersonX does not pay PersonY's back,frowns,oEffect,1
PersonX does not pay PersonY's back,like they have been decieved,oReact,1
PersonX does not pay PersonY's back,stressed over non payment,oReact,1
PersonX does not pay PersonY's back,upset,oReact,1
PersonX does not pay PersonY's back,hurt,oReact,1
PersonX does not pay PersonY's back,dismissed,oReact,1
