p,q,r,output
PersonX doesn't use chopsticks,Punches someone,xEffect,0
PersonX doesn't make a move,smart,xNeed,0
PersonX puts ___ under PersonX's pillow,He saves it.,xNeed,0
PersonX shaves PersonY's beard,not Disturb,xNeed,0
PersonX sits at home,not important,xReact,0
PersonX keeps on truckin,breathes very heavily,xIntent,0
PersonX asks the students,Like he didn't withhold information,xIntent,0
PersonX eats a lot of food,To be think about something,xReact,0
PersonX creates consumer awareness and positive,young,xIntent,0
PersonX buys a new fan,to play with their dogs,xWant,0
PersonX doesn't lock ___ in PersonX's car,cautious,xEffect,0
PersonX writes a book,not influential,xEffect,0
PersonX takes PersonY's home,not thirsty,xEffect,0
PersonX takes time off from work,to have a companion,xNeed,0
PersonX doesn't take time off from work,to have a companion,xNeed,0
PersonX doesn't present PersonY overview,happy.,xAttr,0
PersonX loves art,hungry,xNeed,0
PersonX would love PersonY,Don't drink some juice,xWant,0
PersonX beats PersonX's friend,to have all the junk,xNeed,0
PersonX doesn't decide to leave,sad,xAttr,0
PersonX doesn't direct every ___,to work,xNeed,0
PersonX boards PersonY's plane,don't keep it close,xIntent,0
PersonX tells PersonY to make,not joy,xReact,0
PersonX doesn't seek help,inspirational,xWant,0
PersonX finds PersonY's owners,not ill,xNeed,0
PersonX puts PersonX's things,a mess,xNeed,0
PersonX meets PersonX's needs,don't pass time,oWant,0
PersonX loves the water,not thieving,xEffect,0
PersonX lands awkwardly,relieved for the help,xNeed,0
PersonX embraces every ___,to have his family close,xEffect,0
PersonX sees PersonY's favorite band,not Move,xAttr,0
PersonX decides to cheat,Brittle,xNeed,0
PersonX breaks open,don't watch movie,xIntent,0
PersonX doesn't leave the shop,never see person X again,xAttr,0
PersonX feels like crying,to find the phone,xReact,0
PersonX maximizes PersonY's profits,to ignore the letter,oReact,0
PersonX controls PersonY's actions,to live peacefully,xEffect,0
PersonX asks PersonY to call,not selfish,xWant,0
PersonX talks to PersonY's teacher,to expand his music knowledge.,xAttr,0
PersonX stands near the door,to play with their dogs,xWant,0
PersonX leaves ___ immediately,to ask to spend time,xAttr,0
PersonX wants nothing more,happy and satisfied,xNeed,0
PersonX doesn't follow PersonY closely,unprepared,xWant,0
PersonX raises it to PersonX's lips,don't choose his bride,xNeed,0
PersonX talks to PersonX's neighbor,buy bus tickets,xReact,0
PersonX doesn't take PersonX's first step,to see Person Y's reaction,xIntent,0
PersonX isn't playing with PersonX's cat,to go to someone they don't like,xWant,0
PersonX doubts PersonY's ability,Gets toss aside,oWant,0
PersonX puts ___ to good use,wanted,xWant,0
PersonX waves PersonY away,good,xWant,0
PersonX submits the ___ to arbitration,to study typing,xNeed,0
PersonX washes PersonY's hair,don't leave town,xEffect,0
PersonX goes to the animal shelter,not joyful,oWant,0
PersonX takes PersonY's cat,Don't buy a loaf of bread,oWant,0
PersonX locks ___ out of the house,to have a companion,xReact,0
PersonX doesn't go ___ with PersonX's friend,to learn,xEffect,0
PersonX takes PersonX's first step,methodical,xAttr,0
PersonX doesn't resolve PersonY's problems,gets beat up,xAttr,0
PersonX beats PersonX's friend,thieving,oWant,0
PersonX doesn't hear PersonY name,sociable,xEffect,0
PersonX doesn't give PersonX's mother ___,productive,oWant,0
PersonX embraces every ___,Personx doesn't rent home,xAttr,0
PersonX buys the shoes,to tell a joke,xNeed,0
PersonX never gave up,not Checking,xEffect,0
PersonX climbs the fence,don't dial the number,xIntent,0
PersonX spends a week with PersonY,not happy,xWant,0
PersonX doesn't leave ___ immediately,relieved for the help,xReact,0
PersonX doesn't get PersonY started,"to ""save face"" with the guys.",xAttr,0
PersonX leaves the rest to PersonY,don't tell people that they don't want to help about PersonYy,xWant,0
PersonX plays ___ all the time,tired,xWant,0
PersonX sends PersonX's ___ to die,they bonded with their friend.,xWant,0
PersonX buys PersonX's first home,ill,xWant,0
PersonX begins high school,Flustered to don't find the key,xAttr,0
PersonX parties hearty,don't get home,oWant,0
PersonX decides to cheat,Doesn't become unemployed,xIntent,0
PersonX shares the author's ___,give person a ride to take their pet to the doctor,xWant,0
PersonX doesn't put the dough,sweet,xNeed,0
PersonX moves PersonY's furniture,not inept,xNeed,0
PersonX would stop,brave,xIntent,0
PersonX wants to race,to complete his chores,oWant,0
PersonX doesn't surprise PersonX's friend,to hide from PersonY,xNeed,0
PersonX obtains ___ from sources,don't tell others of their success,xAttr,0
PersonX doesn't get PersonX's ___ away,to thank her,xEffect,0
PersonX dont like PersonY,to engage in recreation,xWant,0
PersonX eats apples,don't celebrate the event,xAttr,0
PersonX makes PersonY return,connected to person,xEffect,0
PersonX gives PersonY explanation,to put presents under the tree,xWant,0
PersonX sits and talked,Doesn't work two jobs,xAttr,0
PersonX doesn't work for an hour,to move their mouth back down.,xWant,0
PersonX carries ___ to PersonY's car,Does not hear X,xIntent,0
PersonX doesn't want to be a singer,Gets lost,xWant,0
PersonX gets PersonX's blood drawn,don't thank people,xAttr,0
PersonX doesn't decide to cheat,to gather materials,xNeed,0
PersonX attends a wine tasting,not hungry,xNeed,0
PersonX doesn't hack it,receive thanks,xAttr,0
PersonX increases PersonY's value,in charge,xWant,0
PersonX needs to buy a new car,not skilled,xNeed,0
PersonX carries PersonY into effect,to go to the doctor,xAttr,0
PersonX loves the view,grows bank account,xNeed,0
PersonX throws ___ in the wash,to win,xNeed,0
PersonX goes on in PersonY's mind,to work the hours,xWant,0
PersonX don'tnt like PersonY,pour themselves the coffee,oReact,0
PersonX becomes very popular,organized,xNeed,0
PersonX doesn't resolve PersonY's problems,nervous,xEffect,0
PersonX sits and talked,Don't wake up,xNeed,0
PersonX doesn't ask my friend,come back,oWant,0
PersonX follows PersonY closely,Silly and entertain,xAttr,0
PersonX gets PersonY started,Person X falls in love,oReact,0
PersonX gnaws PersonY's vitals,Don't call someone,oEffect,0
PersonX spends time with PersonY,conscientious,xNeed,0
PersonX slips on a patch of ice,not terrible,xAttr,0
PersonX doesn't go ___ on leave,to practice,xAttr,0
PersonX buys some chips,to ignore PersonX,xIntent,0
PersonX doesn't look behind ___,save the company money,xWant,0
PersonX does push ups,Don't start car,xNeed,0
PersonX curves PersonY's lips,to have liquid,xNeed,0
PersonX doesn't give PersonY powers,to be knowing Y,xNeed,0
PersonX doesn't take it to school,like a good man,xWant,0
PersonX always didn't take,PersonY's muscle tense up from frustration,oReact,0
PersonX hosts ___ at PersonY's house,Pleased,oWant,0
PersonX goes pretty well,to date Y,xEffect,0
PersonX eats PersonY's breakfast,not Discipline,xEffect,0
PersonX justifies the ___ to man,Connect to person,xIntent,0
PersonX tells PersonY to make,Person X believes saving lives isn't important,xAttr,0
PersonX doesn't bear oneself,calm,xWant,0
PersonX would see PersonY,rich,xAttr,0
PersonX wants to be a singer,to escape with stolen goods,oReact,0
PersonX leaves the shop,moves to another town,xEffect,0
PersonX enters ___ eating contest,offer congratulations,xAttr,0
PersonX doesn't move to new york city,to be jovial,xNeed,0
PersonX would not stop,not healthy,oEffect,0
PersonX boards PersonY's plane,Arouse and excited,xAttr,0
PersonX likes ___ a lot,not festive,xNeed,0
PersonX is a very picky eater,to get out in nature,xAttr,0
PersonX doesn't try PersonY's coffee,to of had somewhere to go,oEffect,0
PersonX doesn't lift PersonY's hands,happy,oEffect,0
PersonX seeks help,removes their wallet,xIntent,0
PersonX locks ___ in PersonX's car,friendly,xEffect,0
PersonX sits and talked,wake up,xNeed,0
PersonX would be perfect,friendly,xEffect,0
PersonX begins high school,not dangerous,xEffect,0
PersonX hears PersonY name,design ideas,xWant,0
PersonX doesn't spend time with PersonY,goes to jail,oEffect,0
PersonX doesn't join a book club,to feel satisfied,xIntent,0
PersonX gives PersonY a character,to determine if they want to go,xWant,0
PersonX doesn't show PersonY how to play,to travel somewhere else,xEffect,0
PersonX doesn't wash PersonY's hair,to think about it,oReact,0
PersonX wants to take pictures,don't ask what person x needs.,xEffect,0
PersonX doesn't dig deep,to hit PersonY,xAttr,0
PersonX doesn't tell PersonY to make,to have a free life,xIntent,0
PersonX doesn't need a new shirt,to go see a dentist,xWant,0
PersonX joins a book club,hungry,oWant,0
PersonX doesn't learn how to play the drums,to be transported,xWant,0
PersonX passes another ___,To better explain things,xReact,0
PersonX doesn't buy the shoes,to give them a warm welcome,xEffect,0
PersonX waves PersonY away,don't walk towards them,xEffect,0
PersonX doesn't carry PersonX's weight,to go home,xAttr,0
PersonX robs the bank,soft,xNeed,0
PersonX doesn't load PersonY's car,have to check in,xAttr,0
PersonX takes ___ to a repair shop,punished,xReact,0
PersonX doesn't ask PersonY if wanted,because they are hungry,xReact,0
PersonX doesn't tell PersonY did not want,accomplished,xAttr,0
PersonX discusses these ___ in detail,Person x doesn't drive off,xNeed,0
PersonX curves PersonY's lips,go to shop,xEffect,0
PersonX seeks help,not Compassionate,xEffect,0
PersonX doesn't buy some shoes,eat the brownies,xWant,0
PersonX lays the groundwork,don't find PersonX,oReact,0
PersonX takes PersonX's bike,takes a picture,xAttr,0
PersonX rushes to the er,PersonX doesn't lose concentration,xAttr,0
PersonX carries PersonX's weight,to go home,xAttr,0
PersonX takes ___ in the process,don't celebrate the event,xReact,0
PersonX doesn't hold PersonX's phone,satisfied,xIntent,0
PersonX comes back to the room,to know personY,xAttr,0
PersonX meets PersonY's mom,not conscientious,xWant,0
PersonX goes for a walk in the woods,Skillful,xAttr,0
PersonX wears ___ every day,Sluggish,xEffect,0
PersonX fulfils PersonY's mission,don't get the job,xWant,0
PersonX doesn't keep ___ under control,is helped out,xAttr,0
PersonX finds a cause of death,gets thankful,xReact,0
PersonX isn't a great singer,meet again,xEffect,0
PersonX doesn't want to take pictures,to go to the room,xWant,0
PersonX doesn't provide ___ in regard,to have toasted bread,xEffect,0
PersonX stabs in the back,Improves their skills,oWant,0
PersonX walks towards PersonY,to enjoy life,oReact,0
PersonX meets PersonY's neighbors,ask personY if they're satisfied,oReact,0
PersonX eats apples,Gets thank,xEffect,0
PersonX doesn't spill everywhere,join a gym,xReact,0
PersonX doesn't buy a new fan,Healthy,xAttr,0
PersonX gets really scared,to rub hands,xAttr,0
PersonX shares PersonX's experiences,to run away,xReact,0
PersonX calls attention to the fact,knowledgeable,xReact,0
PersonX doesn't ride a roller coaster,to provide a good result,xWant,0
PersonX passes with flying colors,loved,xEffect,0
PersonX tries something,to get rid of person x,xWant,0
PersonX doesn't get really scared,to push PersonY to the limit,xWant,0
PersonX almost hit PersonY,like this person shares too much,xAttr,0
PersonX is a great singer,Don't meet again,xIntent,0
PersonX offer PersonY's hand,forms a hobby,xAttr,0
PersonX doesn't keep ___ to a minimum,to be friendly,oWant,0
PersonX doesn't give PersonX's girlfriend ___,gets bumped,xAttr,0
PersonX doesn't tell PersonY did not want,to save up,xAttr,0
PersonX borrows ___ from a friend,Learn how to do it,xAttr,0
PersonX plays ___ all the time,to accept compliments,xIntent,0
PersonX writes PersonX's memoirs,directionless,xNeed,0
PersonX pursues PersonY policy,thoughtful,xNeed,0
PersonX meets ___ for the first time,not hopeful,xAttr,0
PersonX walks towards PersonY,not nervous,oEffect,0
PersonX sees PersonY's mom,upset,xAttr,0
PersonX keeps PersonX's mouth shut,not Please,xEffect,0
PersonX doesn't lose PersonX's jobs,to buy some dough,xWant,0
PersonX shares PersonX's experiences,Don't order a jury,xIntent,0
PersonX doesn't play softball,to start car up,xEffect,0
PersonX likes ___ a lot,happy,xAttr,0
PersonX looks at PersonY with eyes,go away,xIntent,0
PersonX doesn't give PersonX's girlfriend ___,to object,oReact,0
PersonX pursues PersonX's dream,be left out of it,xWant,0
PersonX sends ___ to college,don't pay attention,xWant,0
PersonX eats PersonY's breakfast,don't be ill,oReact,0
PersonX doesn't feel lost,to be alone,xEffect,0
PersonX breaks my leg,to understand,xReact,0
PersonX takes ___ to develop,to understand the situation,xAttr,0
PersonX always took,hurt,xAttr,0
PersonX seems to PersonY would be,don't feel better about themselves,xAttr,0
PersonX decorates PersonX's christmas tree,not hustler,xNeed,0
PersonX claims PersonX's prize,send a response unit,xReact,0
PersonX doesn't rob the bank,to keep issues in control,oEffect,0
PersonX diagnoses with cancer,To explain it to X,xEffect,0
PersonX meets ___ for the first time,Doesn't get excited to go home,oEffect,0
PersonX doesn't see a beautiful woman,to pull out their binder,xWant,0
PersonX doesn't find PersonY's owners,caring,xEffect,0
PersonX wouldnt shouts if a shark bit him,Gets fresh air,xAttr,0
PersonX offer PersonY's hand,not sick,xReact,0
PersonX is fast asleep,Isn't paid for his services by the organisation.,xAttr,0
PersonX takes PersonY's belongings,Don't propose marriage,xIntent,0
PersonX doesn't host ___ at PersonY's house,grab a bite to eat,oReact,0
PersonX doesn't beat PersonX's friend,to show PersonX respect,oEffect,0
PersonX eats the pie,Don't put the item away from Person Y.,xWant,0
PersonX doesn't share PersonX's experiences,haphazard,xEffect,0
PersonX practices yoga,Don't tape what's going on.,xAttr,0
PersonX doesn't cover PersonY's shift,polite,oReact,0
PersonX hires ___ to help PersonY,to collect the tip,oReact,0
PersonX kills PersonY instantly,put on ice skates,xWant,0
PersonX comes back to the room,reflects back on things,xAttr,0
PersonX misses PersonX's bus,not Bore,xNeed,0
PersonX stabs in the back,Doesn't improve their skills,oWant,0
PersonX doesn't delight in ___,soft,xAttr,0
PersonX doesn't fulfill PersonY's mission,to be a better person,xAttr,0
PersonX takes PersonY to the vet,don't get gorceries,xReact,0
PersonX passes with flying colors,affectionate,xNeed,0
PersonX doesn't take PersonY's belongings,to hit PersonY,oWant,0
PersonX doesn't take time off from work,to thank PersonX for keeping on through the storm,xNeed,0
PersonX quickly called ___,Don't relax and rest,xReact,0
PersonX loses PersonX's job ___,they get angry,xNeed,0
PersonX doesn't talk to PersonX's neighbor,to have a piece of paper,xAttr,0
PersonX lifts PersonY's hands,to reply,xWant,0
PersonX catches lots of fish,not tired,xIntent,0
PersonX gives PersonY nothing,want to help persony,xAttr,0
PersonX offer PersonX's condolences,to clean his cothes,xEffect,0
PersonX promotes the world's literature,in peril,xAttr,0
PersonX doesn't play a ___ in the lives,supportive,xReact,0
PersonX doesn't find a cause of death,to be wearing something outrageous,xIntent,0
PersonX takes PersonY's home,not smart,xIntent,0
PersonX hires ___ to help PersonY,don't collect the tip,oReact,0
PersonX doesn't give PersonY the right,evil,xWant,0
PersonX comes home one day,don't keep the win streak going,xWant,0
PersonX waits eagerly,don't purchase things that they need,xIntent,0
PersonX decides to leave,not sad,xAttr,0
PersonX doesn't wait eagerly,"Experiences feeling of superiority, intelligence",xEffect,0
PersonX puts this ___ into practice,don't go to the counter,xWant,0
PersonX smells really bad,not thankful.,xWant,0
PersonX locks ___ in PersonX's car,Very happy and enjoy,oEffect,0
PersonX plays a musical instrument,good about themselves,xAttr,0
PersonX makes brownies,not Convince,xWant,0
PersonX tries something,tired,xEffect,0
PersonX restores the ___ to PersonY's state,to lather the beard,xIntent,0
PersonX doesn't throw ___ in the wash,hurts,xWant,0
PersonX shares the author's ___,don't manipulate PersonY,xWant,0
PersonX parties hearty,mature,xAttr,0
PersonX doesn't take time off from work,careless,xReact,0
PersonX gives PersonX's mother ___,to feel better,oEffect,0
PersonX becomes very popular,don't help them,xWant,0
PersonX goes see a doctor,To be pay,xNeed,0
PersonX talks to PersonX's neighbor,angry,xAttr,0
PersonX would be perfect,Doesn't fall asleep first,xAttr,0
PersonX makes pancakes for breakfast,drive across road construction,xReact,0
PersonX doesn't get ___ anymore,to get sick,xAttr,0
PersonX takes PersonY by force,pays the money,xEffect,0
PersonX don'tnt like PersonY,Concerned,xAttr,0
PersonX doesn't want to marry PersonY,wait for response,xIntent,0
PersonX changes PersonY's policy,not smiles,xWant,0
PersonX dont like PersonY,Doesn't look at PersonX,xAttr,0
PersonX doesn't require PersonY explanation,happy,xIntent,0
PersonX doesn't try something,heroic,xIntent,0
PersonX doesn't satisfy PersonY's needs,unintelligent,oEffect,0
PersonX feels lost,To be include,xReact,0
PersonX paves the road to hell,has a decorated tree,xReact,0
PersonX doesn't doubt PersonY's ability,gets tossed aside,oWant,0
PersonX curves PersonY's lips,assumes responsibility,xIntent,0
PersonX makes a move,competitive,xAttr,0
PersonX slowly didn't move PersonY's mouth up,sorry,xWant,0
PersonX doesn't leave the store,capable,xReact,0
PersonX doesn't wake up early this morning,to sulk because they didn't see their band,xWant,0
PersonX doesn't give PersonY the right,to have solid knowledge if something,xEffect,0
PersonX sees PersonY's favorite band,not friendly,xAttr,0
PersonX handles the situation,uncaring,xWant,0
PersonX asks my friend,to do something to PersonY,xWant,0
PersonX isn't a great singer,meet again,xIntent,0
PersonX doesn't send ___ to college,successful,xAttr,0
PersonX wins big,don't bring tools home,xWant,0
PersonX buys some chips,PersonX isn't listened to,xNeed,0
PersonX implements PersonY system,not Angry,xEffect,0
PersonX doesn't whisper in PersonY's ear,impatient,oEffect,0
PersonX takes the reins,They don't eat delicious food,xReact,0
PersonX wouldnt shouts if a shark bit him,don't find a teacher,xWant,0
PersonX is a very picky eater,to pass time,xAttr,0
PersonX practices ___ for a month,to make tea,xWant,0
PersonX proclaims ___ to the captives,Don't become FAMOUS,oWant,0
PersonX lies on either side,admitted to hospital,xEffect,0
PersonX makes PersonY remark,get home early,xEffect,0
PersonX doesn't climb the fence,to get her advice.,xNeed,0
PersonX leaves PersonX's job,relaxed,xWant,0
PersonX doesn't get the message across,warn others of the danger,xReact,0
PersonX misses PersonX's bus,not Care,xEffect,0
PersonX knows PersonY too well,warmer,xWant,0
PersonX doesn't take off PersonY's hat,relieved for the help,xNeed,0
PersonX doesn't reject every ___,go home,xEffect,0
PersonX wants PersonX's parents,to book tickets,xAttr,0
PersonX doesn't decide to go home,to sleep,xWant,0
PersonX gets married ___,not proud,xEffect,0
PersonX wants to dye PersonX's hair,don't train him,xEffect,0
PersonX misses PersonX's bus,Isn't bloated,xEffect,0
PersonX doesn't tear PersonY to pieces,to get to know PersonX,xAttr,0
PersonX wanders away,don't follow up with PersonY,xWant,0
PersonX goes home happy,to be surprised,xEffect,0
PersonX moves to new york city,gives it back,xNeed,0
PersonX goes home happy,to hire a removals company,xReact,0
PersonX would stop,greedy,xAttr,0
PersonX doesn't kill PersonY's brother,gets arrested,xEffect,0
PersonX justifies the ___ to man,Doesn't need to ask or put in a request to take time off.,xWant,0
PersonX doesn't rob the bank,have a helmet,xAttr,0
PersonX wants PersonX's parents,not sorry,xWant,0
PersonX celebrates PersonY's victory,to do it one way,xNeed,0
PersonX eats a lot of food,hard working,xWant,0
PersonX rips in half,Don't take off the remote,xReact,0
PersonX finishes PersonX's essay,Bombs X back,xEffect,0
PersonX gives it to PersonY's son,silly,xAttr,0
PersonX greases the wheels,not happy,xNeed,0
PersonX keeps ___ under control,don't meet PersonY,xWant,0
PersonX attends a wine tasting,don't eat breakfast,xEffect,0
PersonX doesn't move to new york city,determined,xNeed,0
PersonX looks right,hard working,xNeed,0
PersonX doesn't keep on truckin,hopeful,xAttr,0
PersonX beats PersonX's friend,tired,xReact,0
PersonX asks the students,don't get them out of the dirty clothes,xEffect,0
PersonX takes off PersonY's hat,Don't have fun,xWant,0
PersonX takes PersonY's belongings,not relaxed,oEffect,0
PersonX doesn't go ___ with PersonX's friend,happy,xWant,0
PersonX resolves PersonY's problems,Doesn't like hanging out with them,oWant,0
PersonX takes ___ together,Clean up,xReact,0
PersonX doesn't cover PersonY's shift,cautious,xReact,0
PersonX corrects PersonY error,responsible,oEffect,0
PersonX packs PersonX's bag,"says ""thank you for your help""",xIntent,0
PersonX brings home to PersonY,Customers don't lose money,oEffect,0
PersonX finds PersonY's family,scared,xAttr,0
PersonX smells really bad,thankful.,xWant,0
PersonX hears PersonY name,to be helpful,xEffect,0
PersonX buys the shoes,to be standing on the truck when it started moving,xIntent,0
PersonX brings home to PersonY,to vandalize sometihng,xReact,0
PersonX doesn't buy a new game,take a seat on the plane and prepare for take off,xWant,0
PersonX meets ___ for the first time,to find something,xNeed,0
PersonX doesn't develop PersonY understanding,murderous,oEffect,0
PersonX brings home the bacon,committed,xReact,0
PersonX buys another,Don't put on ice skates,xIntent,0
PersonX takes ___ to a repair shop,don't relax with their music,xAttr,0
PersonX puts PersonY in a jar,don't relax,oWant,0
PersonX wants to be a singer,don't hang out with PersonY,xAttr,0
PersonX keeps ___ to a minimum,Don't receive an answer,oWant,0
PersonX redoes PersonX's bedroom,not enjoyment,xEffect,0
PersonX doesn't take PersonX's boat out,mature,xAttr,0
PersonX decides to smoke,PersonX doesn't accept help from others,xAttr,0
PersonX fights PersonX's battles,hurt,xAttr,0
PersonX doesn't give PersonX's girlfriend ___,to try something in a new way,xNeed,0
PersonX doesn't wear ___ every day,good.,xNeed,0
PersonX implements PersonY system,clumsy,xWant,0
PersonX puts PersonX's things,not cleanly,xAttr,0
PersonX doesn't put ___ on the bed,to be alone,xWant,0
PersonX doesn't change PersonY's policy,outgoing,xWant,0
PersonX hits the gas,Happy to don't help,xAttr,0
PersonX doesn't have lots of fun,a conclusion,xEffect,0
PersonX makes pancakes for breakfast,out of control,xNeed,0
PersonX leaves the store,not helpful,xAttr,0
PersonX cant helps,social,oReact,0
PersonX leaves ___ immediately,to feed family,xNeed,0
PersonX doesn't correct PersonY error,to be a famous singer,xEffect,0
PersonX doesn't call by PersonY name,Ask what's wrong.,xEffect,0
PersonX digs deep,gets thanked,xAttr,0
PersonX trains ___ to become,to get a good grade,xNeed,0
PersonX puts the dough,to remain quiet,xAttr,0
PersonX doesn't push PersonY away,gets lost,xEffect,0
PersonX misses PersonX's bus,buy a new couch,xWant,0
PersonX slips on a patch of ice,don't get supplies,xEffect,0
PersonX gets PersonX's ___ away,don't take pictures,oEffect,0
PersonX runs late to work,don't ask for their permission,oWant,0
PersonX moves PersonY's furniture,don't converse,oReact,0
PersonX doesn't smell smoke,to eat them,xWant,0
PersonX buys another,not remorse.,xNeed,0
PersonX catches lots of fish,not Demand,oReact,0
PersonX doesn't fulfill PersonY's mission,responsible.,xEffect,0
PersonX spends a week with PersonY,successful,xNeed,0
PersonX eats a lot of food,have the baby,xReact,0
PersonX makes brownies,aggressive,xReact,0
PersonX decides to cheat,don't accept generosity,xEffect,0
PersonX keeps PersonX's mouth shut,Don't give it to his child,xIntent,0
PersonX doesn't leave ___ in PersonY's room,to calm down,oWant,0
PersonX holds PersonX's phone,determine what college the person wants to attend,xWant,0
PersonX tells PersonY to make,adventurous,xAttr,0
PersonX quickly called ___,to reward PersonX,oReact,0
PersonX wants to clean it,Don't make new friends,xWant,0
PersonX doesn't take a trip,tired,xWant,0
PersonX doesn't wait eagerly,exciting and good,xAttr,0
PersonX brings home to PersonY,to call PersonX,oWant,0
PersonX would help,not concerned,xAttr,0
PersonX doesn't cry every ___,to be close to PersonY,xAttr,0
PersonX doesn't make a good grade,to laugh,xAttr,0
PersonX doesn't share PersonX's experiences,to buy things,xNeed,0
PersonX doesn't cost PersonY dollars,in power,oWant,0
PersonX doesn't love art,adventurous,xWant,0
PersonX wants to be a firefighter,not happy,xEffect,0
PersonX locks ___ out of the house,to reply,xAttr,0
PersonX doesn't fall many times,avoids person X,xWant,0
PersonX doesn't try to lose weight,buy the items needed,xIntent,0
PersonX carries PersonX's weight,to try on shoes.,xNeed,0
PersonX would not stop,don't confront,xWant,0
PersonX isn't a great singer,Show PersonX the animals in the shelter,xIntent,0
PersonX wants to race,to yell,xWant,0
PersonX meets PersonX's needs,helpful,xWant,0
PersonX doesn't give PersonY a character,keeps a large stock of it,xAttr,0
PersonX enters ___ eating contest,to answer the question,xWant,0
PersonX keeps ___ to a minimum,not Flounder,xReact,0
PersonX doesn't put ___ on PersonY's face,pestered,oReact,0
PersonX directs every ___,to work,xNeed,0
PersonX asks PersonY if wanted,included,xAttr,0
PersonX gives PersonY powers,Don't have limited resources,xEffect,0
PersonX doesn't rid a bike,mischievous,xWant,0
PersonX doesn't ask PersonY to call,selfish,xWant,0
PersonX lifts PersonY's hands,don't thank x,xAttr,0
PersonX passes with flying colors,not Love,xEffect,0
PersonX is playing with PersonX's cat,don't come up with a plan,xAttr,0
PersonX doesn't embrace every ___,to close their eyes,xWant,0
PersonX doesn't win big,diligent,oWant,0
PersonX talks to PersonX's neighbor,not friendly,xReact,0
PersonX writes PersonX's memoirs,to catch Person X,xEffect,0
