p,q,r,output
PersonX gives PersonY the right,clumsy,xAttr,0
PersonX gives PersonY the right,not clumsy,xAttr,0
PersonX doesn't give PersonY the right,not clumsy,xAttr,0
PersonX imposes upon PersonY the ___,to have fun,xNeed,0
PersonX imposes upon PersonY the ___,don't have fun,xNeed,0
PersonX doesn't impose upon PersonY the ___,don't have fun,xNeed,0
PersonX comes back to the room,Someone gets a gift,xWant,0
PersonX comes back to the room,Someone doesn't get a gift,xWant,0
PersonX doesn't come back to the room,Someone doesn't get a gift,xWant,0
PersonX eats PersonY food,thorough,xIntent,0
PersonX eats PersonY food,not thorough,xIntent,0
PersonX doesn't eat PersonY food,not thorough,xIntent,0
PersonX keeps ___ of the number,overwhelmed,xNeed,0
PersonX keeps ___ of the number,not overwhelmed,xNeed,0
PersonX doesn't keep ___ of the number,not overwhelmed,xNeed,0
PersonX tells PersonY to be quiet,to go to the bar,xAttr,0
PersonX tells PersonY to be quiet,don't go to the bar,xAttr,0
PersonX doesn't tell PersonY to be quiet,don't go to the bar,xAttr,0
PersonX sweetens the pot,to hurry up,xNeed,0
PersonX sweetens the pot,don't hurry up,xNeed,0
PersonX sweetens the pot,don't hurry up,xNeed,0
PersonX thanks the worker,restore is reputation,xWant,0
PersonX thanks the worker,Restore isn't reputation,xWant,0
PersonX thanks the worker,Restore isn't reputation,xWant,0
PersonX gives PersonY powers,to thank everyone for coming,xAttr,0
PersonX gives PersonY powers,don't thank everyone for coming,xAttr,0
PersonX doesn't give PersonY powers,don't thank everyone for coming,xAttr,0
PersonX asks the students,to fight personx,xEffect,0
PersonX asks the students,don't fight personx,xEffect,0
PersonX doesn't ask the students,don't fight personx,xEffect,0
PersonX enjoys PersonX's lunch,to copy PersonY,xEffect,0
PersonX enjoys PersonX's lunch,don't copy PersonY,xEffect,0
PersonX doesn't enjoy PersonX's lunch,don't copy PersonY,xEffect,0
PersonX spends ___ teaching,has to replace the broken window,xReact,0
PersonX spends ___ teaching,Doesn't have to replace the broken window,xReact,0
PersonX doesn't spend ___ teaching,Doesn't have to replace the broken window,xReact,0
PersonX keeps ___ of the number,to finish their degree early,xIntent,0
PersonX keeps ___ of the number,don't finish their degree early,xIntent,0
PersonX doesn't keep ___ of the number,don't finish their degree early,xIntent,0
PersonX opens PersonY's own store,runs away from PersonX,xAttr,0
PersonX opens PersonY's own store,Doesn't run away from PersonX,xAttr,0
PersonX doesn't open PersonY's own store,Doesn't run away from PersonX,xAttr,0
PersonX risks PersonX's life and limb,hungry,xWant,0
PersonX risks PersonX's life and limb,not hungry,xWant,0
PersonX risks PersonX's life and limb,not hungry,xWant,0
PersonX hats dogs,realize their wrongs,xAttr,0
PersonX hats dogs,Don't realize their wrongs,xAttr,0
PersonX hats dogs,Don't realize their wrongs,xAttr,0
PersonX puts on PersonY's shoes,courageous,oWant,0
PersonX puts on PersonY's shoes,not courageous,oWant,0
PersonX doesn't put on PersonY's shoes,not courageous,oWant,0
PersonX satisfies PersonX's needs,To drink something,xEffect,0
PersonX satisfies PersonX's needs,don't drink something,xEffect,0
PersonX satisfies PersonX's needs,don't drink something,xEffect,0
PersonX eliminates every ___,to learn something,xNeed,0
PersonX eliminates every ___,don't learn something,xNeed,0
PersonX doesn't eliminate every ___,don't learn something,xNeed,0
PersonX invites PersonY over to PersonX's house,to tell personY they will help them,oEffect,0
PersonX invites PersonY over to PersonX's house,To tell personY they won't help them,oEffect,0
PersonX doesn't invite PersonY over to PersonX's house,To tell personY they won't help them,oEffect,0
PersonX feels a sharp sting,to follow his physician's instructions,xEffect,0
PersonX feels a sharp sting,don't follow his physician's instructions,xEffect,0
PersonX doesn't feel a sharp sting,don't follow his physician's instructions,xEffect,0
PersonX finds a cause of death,to be near Y,xIntent,0
PersonX finds a cause of death,don't be near Y,xIntent,0
PersonX doesn't find a cause of death,don't be near Y,xIntent,0
PersonX opens the floodgates,signs in frustation,xIntent,0
PersonX opens the floodgates,not signs in frustation,xIntent,0
PersonX doesn't open the floodgates,not signs in frustation,xIntent,0
PersonX gets pretty good,travel to home,xNeed,0
PersonX gets pretty good,Don't travel to home,xNeed,0
PersonX doesn't get pretty good,Don't travel to home,xNeed,0
PersonX writes songs,violate company rules,xAttr,0
PersonX writes songs,Don't violate company rules,xAttr,0
PersonX doesn't write songs,Don't violate company rules,xAttr,0
PersonX asks PersonY what happened,happiness,xEffect,0
PersonX asks PersonY what happened,not happiness,xEffect,0
PersonX doesn't ask PersonY what happened,not happiness,xEffect,0
PersonX checks the time,go to law school,xEffect,0
PersonX checks the time,Don't go to law school,xEffect,0
PersonX doesn't check the time,Don't go to law school,xEffect,0
PersonX puts ___ on PersonY's face,Ask person X what they are doing,oWant,0
PersonX puts ___ on PersonY's face,Don't ask person X what they are doing,oWant,0
PersonX doesn't put ___ on PersonY's face,Don't ask person X what they are doing,oWant,0
PersonX gets PersonY's father,relieved,xAttr,0
PersonX gets PersonY's father,Didn't relieve,xAttr,0
PersonX doesn't get PersonY's father,Didn't relieve,xAttr,0
PersonX looks around to see,unconscious,xIntent,0
PersonX looks around to see,not unconscious,xIntent,0
PersonX doesn't look around to see,not unconscious,xIntent,0
PersonX eventually fell,proud of person x,xEffect,0
PersonX eventually fell,not proud of person x,xEffect,0
PersonX eventually didn't fall,not proud of person x,xEffect,0
PersonX buys some new ones,to pay rent,xNeed,0
PersonX buys some new ones,don't pay rent,xNeed,0
PersonX doesn't buy some new ones,don't pay rent,xNeed,0
PersonX enters PersonY house,to get what they want,xIntent,0
PersonX enters PersonY house,don't get what they want,xIntent,0
PersonX doesn't enter PersonY house,don't get what they want,xIntent,0
PersonX makes a website,gets begged for help,xNeed,0
PersonX makes a website,Gets beg for help,xNeed,0
PersonX doesn't make a website,Gets beg for help,xNeed,0
PersonX takes ___ two hours,nervous,xAttr,0
PersonX takes ___ two hours,not nervous,xAttr,0
PersonX doesn't take ___ two hours,not nervous,xAttr,0
PersonX does n't know what to say,vomits,xEffect,0
PersonX does n't know what to say,Doesn't vomit,xEffect,0
PersonX does know what to say,Doesn't vomit,xEffect,0
PersonX calls upon to make,they get better at life,xEffect,0
PersonX calls upon to make,They don't get better at life,xEffect,0
PersonX doesn't call upon to make,They don't get better at life,xEffect,0
PersonX hears ___ behind PersonY,to know answers,xWant,0
PersonX hears ___ behind PersonY,don't know answers,xWant,0
PersonX doesn't hear ___ behind PersonY,don't know answers,xWant,0
PersonX becomes fit,shares home,xEffect,0
PersonX becomes fit,Doesn't share home,xEffect,0
PersonX doesn't become fit,Doesn't share home,xEffect,0
PersonX seems pretty cool,excited,oEffect,0
PersonX seems pretty cool,not Excite,oEffect,0
PersonX doesn't seem pretty cool,not Excite,oEffect,0
PersonX wears a hat ___,committed,xNeed,0
PersonX wears a hat ___,not Commit,xNeed,0
PersonX doesn't wear a hat ___,not Commit,xNeed,0
PersonX loves PersonX's ___ also,leaves shelter,xAttr,0
PersonX loves PersonX's ___ also,Doesn't leave shelter,xAttr,0
PersonX doesn't love PersonX's ___ also,Doesn't leave shelter,xAttr,0
PersonX lowers PersonY's head,to have time alone,xEffect,0
PersonX lowers PersonY's head,don't have time alone,xEffect,0
PersonX doesn't lower PersonY's head,don't have time alone,xEffect,0
PersonX wants nothing to do with PersonY,to watch what is in front of them,oWant,0
PersonX wants nothing to do with PersonY,To watch what isn't in front of them,oWant,0
PersonX doesn't want nothing to do with PersonY,To watch what isn't in front of them,oWant,0
PersonX falls many times,see the world,xAttr,0
PersonX falls many times,Don't see the world,xAttr,0
PersonX doesn't fall many times,Don't see the world,xAttr,0
PersonX comes running,to shut door,xReact,0
PersonX comes running,don't shut door,xReact,0
PersonX doesn't come running,don't shut door,xReact,0
PersonX is cooking spaghetti,patient,xNeed,0
PersonX is cooking spaghetti,not patient,xNeed,0
PersonX isn't cooking spaghetti,not patient,xNeed,0
PersonX writes PersonX's paper,Nice,xNeed,0
PersonX writes PersonX's paper,not Nice,xNeed,0
PersonX doesn't write PersonX's paper,not Nice,xNeed,0
PersonX hears PersonY name,divine,xReact,0
PersonX hears PersonY name,Don't divine,xReact,0
PersonX doesn't hear PersonY name,Don't divine,xReact,0
PersonX becomes more comfortable,helpful,xReact,0
PersonX becomes more comfortable,not helpful,xReact,0
PersonX doesn't become more comfortable,not helpful,xReact,0
PersonX flies back,becomes famous between others,xEffect,0
PersonX flies back,Doesn't become famous between others,xEffect,0
PersonX doesn't fly back,Doesn't become famous between others,xEffect,0
PersonX tells PersonY yesterday,to know what he likes,xNeed,0
PersonX tells PersonY yesterday,don't know what he likes,xNeed,0
PersonX doesn't tell PersonY yesterday,don't know what he likes,xNeed,0
PersonX takes ___ from work,may be punished,xReact,0
PersonX takes ___ from work,May not be punished,xReact,0
PersonX doesn't take ___ from work,May not be punished,xReact,0
PersonX would mock PersonY,sociable,xWant,0
PersonX would mock PersonY,not sociable,xWant,0
PersonX wouldn't mock PersonY,not sociable,xWant,0
PersonX keeps PersonX's ___ under control,to celebrate.,xAttr,0
PersonX keeps PersonX's ___ under control,don't celebrate.,xAttr,0
PersonX doesn't keep PersonX's ___ under control,don't celebrate.,xAttr,0
PersonX loses PersonX's first tooth,apathy,xNeed,0
PersonX loses PersonX's first tooth,not apathy,xNeed,0
PersonX doesn't lose PersonX's first tooth,not apathy,xNeed,0
PersonX practices every day,Prepares their meal,xWant,0
PersonX practices every day,Doesn't prepare their meal,xWant,0
PersonX practices every day,Doesn't prepare their meal,xWant,0
PersonX practices ___ for a month,answer questions,xWant,0
PersonX practices ___ for a month,Don't answer questions,xWant,0
PersonX doesn't practice ___ for a month,Don't answer questions,xWant,0
PersonX visits PersonY's uncle's farm,ovservant,xEffect,0
PersonX visits PersonY's uncle's farm,not ovservant,xEffect,0
PersonX doesn't visit PersonY's uncle's farm,not ovservant,xEffect,0
PersonX catches lots of fish,to be informed,xAttr,0
PersonX catches lots of fish,To be inform,xAttr,0
PersonX doesn't catch lots of fish,To be inform,xAttr,0
PersonX pays enough attention,cooperative,xReact,0
PersonX pays enough attention,not cooperative,xReact,0
PersonX doesn't pay enough attention,not cooperative,xReact,0
PersonX kills PersonY's brother,mouth waters,xIntent,0
PersonX kills PersonY's brother,not mouth waters,xIntent,0
PersonX doesn't kill PersonY's brother,not mouth waters,xIntent,0
PersonX needs to buy a new car,be nice to person,xNeed,0
PersonX needs to buy a new car,Don't be nice to person,xNeed,0
PersonX doesn't need to buy a new car,Don't be nice to person,xNeed,0
PersonX turns PersonZ's ___ toward PersonY,glad,xAttr,0
PersonX turns PersonZ's ___ toward PersonY,not glad,xAttr,0
PersonX doesn't turn PersonZ's ___ toward PersonY,not glad,xAttr,0
PersonX feels proud of himself,They tell personX about the person they have set them up with.,xWant,0
PersonX feels proud of himself,They don't tell personX about the person they have set them up with.,xWant,0
PersonX doesn't feel proud of himself,They don't tell personX about the person they have set them up with.,xWant,0
PersonX lies behind PersonY,worried,xNeed,0
PersonX lies behind PersonY,Didn't worry,xNeed,0
PersonX doesn't lie behind PersonY,Didn't worry,xNeed,0
PersonX buys a new game,King,xEffect,0
PersonX buys a new game,not King,xEffect,0
PersonX doesn't buy a new game,not King,xEffect,0
PersonX impedes PersonY's progress,to get trained for the job,oReact,0
PersonX impedes PersonY's progress,To get train for the job,oReact,0
PersonX doesn't impede PersonY's progress,To get train for the job,oReact,0
PersonX puts ___ at ease,fast,oReact,0
PersonX puts ___ at ease,Don't fast,oReact,0
PersonX doesn't put ___ at ease,Don't fast,oReact,0
PersonX trains ___ to become,isn't bothered by people,xAttr,0
PersonX trains ___ to become,Is bothered by people,xAttr,0
PersonX trains ___ to don't become,Is bothered by people,xAttr,0
PersonX spends ___ teaching,sad,xAttr,0
PersonX spends ___ teaching,not sad,xAttr,0
PersonX doesn't spend ___ teaching,not sad,xAttr,0
PersonX earns one's ___,respected,xAttr,0
PersonX earns one's ___,not Respect,xAttr,0
PersonX doesn't earn one's ___,not Respect,xAttr,0
PersonX kneels down beside PersonY,cut it and put it in plate,oWant,0
PersonX kneels down beside PersonY,Don't cut it and put it in plate,oWant,0
PersonX kneels down beside PersonY,Don't cut it and put it in plate,oWant,0
PersonX begs and begged,to buy groceries,xAttr,0
PersonX begs and begged,don't buy groceries,xAttr,0
PersonX doesn't beg and begged,don't buy groceries,xAttr,0
PersonX ensures PersonY supply,run for office,oWant,0
PersonX ensures PersonY supply,Don't run for office,oWant,0
PersonX doesn't ensure PersonY supply,Don't run for office,oWant,0
PersonX satisfies PersonX's needs,he gives a gift from the person,xWant,0
PersonX satisfies PersonX's needs,He doesn't give a gift from the person,xWant,0
PersonX satisfies PersonX's needs,He doesn't give a gift from the person,xWant,0
PersonX seeks ___ abroad,to try out for the job,xIntent,0
PersonX seeks ___ abroad,don't try out for the job,xIntent,0
PersonX doesn't seek ___ abroad,don't try out for the job,xIntent,0
PersonX holds the baby,tell person what they heard,oEffect,0
PersonX holds the baby,Don't tell person what they heard,oEffect,0
PersonX doesn't hold the baby,Don't tell person what they heard,oEffect,0
PersonX is freezing cold,to stay relaxed,xReact,0
PersonX is freezing cold,don't stay relaxed,xReact,0
PersonX isn't freezing cold,don't stay relaxed,xReact,0
PersonX marries PersonY's sister,to go back to their business,xAttr,0
PersonX marries PersonY's sister,don't go back to their business,xAttr,0
PersonX doesn't marry PersonY's sister,don't go back to their business,xAttr,0
PersonX gilds the pill,to see a travel agent.,xAttr,0
PersonX gilds the pill,don't see a travel agent.,xAttr,0
PersonX doesn't gild the pill,don't see a travel agent.,xAttr,0
PersonX discharges PersonY's duties,peple get  smelled,xReact,0
PersonX discharges PersonY's duties,Peple get smell,xReact,0
PersonX doesn't discharge PersonY's duties,Peple get smell,xReact,0
PersonX addresses women's ___,to see what's behind the person,xIntent,0
PersonX addresses women's ___,To see what isn't behind the person,xIntent,0
PersonX addresses women's ___,To see what isn't behind the person,xIntent,0
PersonX hugs PersonX's mom,helpful,xAttr,0
PersonX hugs PersonX's mom,not helpful,xAttr,0
PersonX hugs PersonX's mom,not helpful,xAttr,0
PersonX laughs and talking,knowledgeable,xAttr,0
PersonX laughs and talking,not knowledgeable,xAttr,0
PersonX doesn't laugh and talking,not knowledgeable,xAttr,0
PersonX kisses PersonY deeply,to know about him,oEffect,0
PersonX kisses PersonY deeply,don't know about him,oEffect,0
PersonX doesn't kiss PersonY deeply,don't know about him,oEffect,0
PersonX puts ___ in PersonY's mouth,deprived,xWant,0
PersonX puts ___ in PersonY's mouth,not Deprive,xWant,0
PersonX doesn't put ___ in PersonY's mouth,not Deprive,xWant,0
PersonX gives PersonY a glimpse,clumsy,xEffect,0
PersonX gives PersonY a glimpse,not clumsy,xEffect,0
PersonX doesn't give PersonY a glimpse,not clumsy,xEffect,0
PersonX sits at PersonX's computer,lose something,xEffect,0
PersonX sits at PersonX's computer,Don't lose something,xEffect,0
PersonX doesn't sit at PersonX's computer,Don't lose something,xEffect,0
PersonX sees the sign,arrive at the ER,xEffect,0
PersonX sees the sign,Don't arrive at the ER,xEffect,0
PersonX doesn't see the sign,Don't arrive at the ER,xEffect,0
PersonX ends PersonX's day,to be like PersonX,xEffect,0
PersonX ends PersonX's day,don't be like PersonX,xEffect,0
PersonX doesn't end PersonX's day,don't be like PersonX,xEffect,0
PersonX calls upon to perform,to see another trick,xWant,0
PersonX calls upon to perform,don't see another trick,xWant,0
PersonX doesn't call upon to perform,don't see another trick,xWant,0
PersonX receives ___ from others,happy,oEffect,0
PersonX receives ___ from others,not happy,oEffect,0
PersonX doesn't receive ___ from others,not happy,oEffect,0
PersonX calls PersonY's father,follow up with PersonX,xReact,0
PersonX calls PersonY's father,Don't follow up with PersonX,xReact,0
PersonX doesn't call PersonY's father,Don't follow up with PersonX,xReact,0
PersonX kneels down beside PersonY,neutral,xWant,0
PersonX kneels down beside PersonY,not neutral,xWant,0
PersonX kneels down beside PersonY,not neutral,xWant,0
PersonX gives PersonY value,to warn PersonY,oWant,0
PersonX gives PersonY value,don't warn PersonY,oWant,0
PersonX doesn't give PersonY value,don't warn PersonY,oWant,0
PersonX practices every day,to keep PersonY safe,xNeed,0
PersonX practices every day,don't keep PersonY safe,xNeed,0
PersonX practices every day,don't keep PersonY safe,xNeed,0
PersonX always gets,get some large bags,xAttr,0
PersonX always gets,Don't get some large bags,xAttr,0
PersonX always doesn't get,Don't get some large bags,xAttr,0
PersonX justifies PersonX's conduct,death,xReact,0
PersonX justifies PersonX's conduct,not death,xReact,0
PersonX doesn't justify PersonX's conduct,not death,xReact,0
PersonX keeps PersonX's mouth shut,to thank PersonX,xReact,0
PersonX keeps PersonX's mouth shut,don't thank PersonX,xReact,0
PersonX doesn't keep PersonX's mouth shut,don't thank PersonX,xReact,0
PersonX surprises PersonX's boyfriend,considerate,xReact,0
PersonX surprises PersonX's boyfriend,Don't considerate,xReact,0
PersonX surprises PersonX's boyfriend,Don't considerate,xReact,0
PersonX sees the country,pays money,xAttr,0
PersonX sees the country,Doesn't pay money,xAttr,0
PersonX doesn't see the country,Doesn't pay money,xAttr,0
PersonX finds PersonX's mom,clear out the confusion,xWant,0
PersonX finds PersonX's mom,Don't clear out the confusion,xWant,0
PersonX doesn't find PersonX's mom,Don't clear out the confusion,xWant,0
PersonX fills PersonX's ___ with air,to draw,xAttr,0
PersonX fills PersonX's ___ with air,don't draw,xAttr,0
PersonX doesn't fill PersonX's ___ with air,don't draw,xAttr,0
PersonX has PersonX's ears lowered,strange,xAttr,0
PersonX has PersonX's ears lowered,not strange,xAttr,0
PersonX hasn't PersonX's ears lowered,not strange,xAttr,0
PersonX spills everywhere,gets help,xAttr,0
PersonX spills everywhere,Doesn't get help,xAttr,0
PersonX doesn't spill everywhere,Doesn't get help,xAttr,0
PersonX boards the train,good,xEffect,0
PersonX boards the train,not good,xEffect,0
PersonX boards the train,not good,xEffect,0
PersonX tightens around PersonY,kind,oWant,0
PersonX tightens around PersonY,not kind,oWant,0
PersonX tightens around PersonY,not kind,oWant,0
PersonX hears PersonX's father's ___,brave,oEffect,0
PersonX hears PersonX's father's ___,not brave,oEffect,0
PersonX doesn't hear PersonX's father's ___,not brave,oEffect,0
PersonX builds PersonY empire,gives some advice,xWant,0
PersonX builds PersonY empire,Doesn't give some advice,xWant,0
PersonX doesn't build PersonY empire,Doesn't give some advice,xWant,0
PersonX rubs PersonX's chin,to go to the bar,xIntent,0
PersonX rubs PersonX's chin,don't go to the bar,xIntent,0
PersonX doesn't rub PersonX's chin,don't go to the bar,xIntent,0
PersonX returns home that ___,diligent,oReact,0
PersonX returns home that ___,not diligent,oReact,0
PersonX doesn't return home that ___,not diligent,oReact,0
PersonX gives PersonY a haircut,tired,oEffect,0
PersonX gives PersonY a haircut,not tired,oEffect,0
PersonX doesn't give PersonY a haircut,not tired,oEffect,0
PersonX is starting high school,to use it for a meal,xAttr,0
PersonX is starting high school,don't use it for a meal,xAttr,0
PersonX isn't starting high school,don't use it for a meal,xAttr,0
PersonX watches wrestling,Heart rate increases,xNeed,0
PersonX watches wrestling,not Heart rate increases,xNeed,0
PersonX doesn't watch wrestling,not Heart rate increases,xNeed,0
PersonX takes PersonY's belongings,be able to touch persony,oReact,0
PersonX takes PersonY's belongings,Don't be able to touch persony,oReact,0
PersonX doesn't take PersonY's belongings,Don't be able to touch persony,oReact,0
PersonX sees a raccoon,hungry,xWant,0
PersonX sees a raccoon,not hungry,xWant,0
PersonX doesn't see a raccoon,not hungry,xWant,0
PersonX bites PersonY's lower lip,relaxed,xReact,0
PersonX bites PersonY's lower lip,Didn't relax,xReact,0
PersonX doesn't bite PersonY's lower lip,Didn't relax,xReact,0
PersonX gets a hit,tired,xAttr,0
PersonX gets a hit,not tired,xAttr,0
PersonX doesn't get a hit,not tired,xAttr,0
PersonX pulls PersonY's pants,loved,xNeed,0
PersonX pulls PersonY's pants,Didn't love,xNeed,0
PersonX doesn't pull PersonY's pants,Didn't love,xNeed,0
PersonX performs PersonX's functions,proud,xReact,0
PersonX performs PersonX's functions,not proud,xReact,0
PersonX doesn't perform PersonX's functions,not proud,xReact,0
PersonX joins PersonY's party,to try again,oWant,0
PersonX joins PersonY's party,don't try again,oWant,0
PersonX doesn't join PersonY's party,don't try again,oWant,0
PersonX plays ___ all the time,Gets disappointed,oWant,0
PersonX plays ___ all the time,Doesn't get disappointed,oWant,0
PersonX doesn't play ___ all the time,Doesn't get disappointed,oWant,0
PersonX looks for a dog to kick,to feed their children,xAttr,0
PersonX looks for a dog to kick,don't feed their children,xAttr,0
PersonX doesn't look for a dog to kick,don't feed their children,xAttr,0
PersonX orders the book,to go home,xEffect,0
PersonX orders the book,don't go home,xEffect,0
PersonX doesn't order the book,don't go home,xEffect,0
PersonX gets there on time,to work hard,xReact,0
PersonX gets there on time,don't work hard,xReact,0
PersonX doesn't get there on time,don't work hard,xReact,0
PersonX acquires PersonY knowledge,broad,xAttr,0
PersonX acquires PersonY knowledge,not broad,xAttr,0
PersonX doesn't acquire PersonY knowledge,not broad,xAttr,0
PersonX urges PersonY to come,to go back home,oReact,0
PersonX urges PersonY to come,don't go back home,oReact,0
PersonX doesn't urge PersonY to come,don't go back home,oReact,0
PersonX sees a rat,leaves,xReact,0
PersonX sees a rat,Doesn't leave,xReact,0
PersonX doesn't see a rat,Doesn't leave,xReact,0
PersonX rids PersonY's skateboard,to be conssoling,xAttr,0
PersonX rids PersonY's skateboard,To be conssole,xAttr,0
PersonX rids PersonY's skateboard,To be conssole,xAttr,0
PersonX cooks dinner for PersonX's girlfriend,to be near persony,xIntent,0
PersonX cooks dinner for PersonX's girlfriend,don't be near persony,xIntent,0
PersonX doesn't cook dinner for PersonX's girlfriend,don't be near persony,xIntent,0
PersonX sees what was wrong,Check foot for injury,xReact,0
PersonX sees what was wrong,Don't check foot for injury,xReact,0
PersonX sees what wasn't wrong,Don't check foot for injury,xReact,0
PersonX keeps it up,helpful,xEffect,0
PersonX keeps it up,not helpful,xEffect,0
PersonX doesn't keep it up,not helpful,xEffect,0
PersonX gets well,fascinated,xAttr,0
PersonX gets well,not Fascinate,xAttr,0
PersonX doesn't get well,not Fascinate,xAttr,0
PersonX goes to PersonX's office,happy to have memories to look back upon,xNeed,0
PersonX goes to PersonX's office,Happy to don't have memories to look back upon,xNeed,0
PersonX doesn't go to PersonX's office,Happy to don't have memories to look back upon,xNeed,0
PersonX ruins PersonY's day,fill out forms,xWant,0
PersonX ruins PersonY's day,Don't fill out forms,xWant,0
PersonX doesn't ruin PersonY's day,Don't fill out forms,xWant,0
PersonX spills everywhere,to get into the bedroom,xAttr,0
PersonX spills everywhere,don't get into the bedroom,xAttr,0
PersonX doesn't spill everywhere,don't get into the bedroom,xAttr,0
PersonX watches movies all day,To know Y better,xEffect,0
PersonX watches movies all day,don't know Y better,xEffect,0
PersonX doesn't watch movies all day,don't know Y better,xEffect,0
PersonX spills everywhere,have an option,xNeed,0
PersonX spills everywhere,Don't have an option,xNeed,0
PersonX doesn't spill everywhere,Don't have an option,xNeed,0
PersonX makes PersonY's dream come true,to make money,xIntent,0
PersonX makes PersonY's dream come true,don't make money,xIntent,0
PersonX doesn't make PersonY's dream come true,don't make money,xIntent,0
PersonX wants to marry PersonY,to act on it,xReact,0
PersonX wants to marry PersonY,don't act on it,xReact,0
PersonX doesn't want to marry PersonY,don't act on it,xReact,0
PersonX wants to hear,focused,oReact,0
PersonX wants to hear,Didn't focus,oReact,0
PersonX doesn't want to hear,Didn't focus,oReact,0
PersonX tells PersonY told,to go to station,xWant,0
PersonX tells PersonY told,don't go to station,xWant,0
PersonX doesn't tell PersonY told,don't go to station,xWant,0
PersonX thanks the worker,to stay quiet,xWant,0
PersonX thanks the worker,don't stay quiet,xWant,0
PersonX thanks the worker,don't stay quiet,xWant,0
PersonX kisses PersonY goodbye,awake,oWant,0
PersonX kisses PersonY goodbye,not awake,oWant,0
PersonX doesn't kiss PersonY goodbye,not awake,oWant,0
PersonX seizes PersonY's hand,to hope it doesn't come back to harm him,xNeed,0
PersonX seizes PersonY's hand,To hope it doescome back to harm him,xNeed,0
PersonX doesn't seize PersonY's hand,To hope it doescome back to harm him,xNeed,0
PersonX completely destroyed,shocked,xWant,0
PersonX completely destroyed,Didn't shock,xWant,0
PersonX completely destroy,Didn't shock,xWant,0
PersonX sees the ocean,thankful.,xAttr,0
PersonX sees the ocean,not thankful.,xAttr,0
PersonX doesn't see the ocean,not thankful.,xAttr,0
PersonX lays PersonY on the table,good,xWant,0
PersonX lays PersonY on the table,not good,xWant,0
PersonX doesn't lay PersonY on the table,not good,xWant,0
PersonX also spent ___,dependable,oWant,0
PersonX also spent ___,not dependable,oWant,0
PersonX also didn't spend ___,not dependable,oWant,0
PersonX rests PersonY's hands,to buy a ticket,xNeed,0
PersonX rests PersonY's hands,don't buy a ticket,xNeed,0
PersonX doesn't rest PersonY's hands,don't buy a ticket,xNeed,0
PersonX becomes very angry,ruthless,xWant,0
PersonX becomes very angry,not ruthless,xWant,0
PersonX doesn't become very angry,not ruthless,xWant,0
PersonX kisses PersonY's forehead,win the game,xNeed,0
PersonX kisses PersonY's forehead,Don't win the game,xNeed,0
PersonX doesn't kiss PersonY's forehead,Don't win the game,xNeed,0
