p,q,r,output
PersonX displeases PersonY's partner,rude,xAttr,1
PersonX displeases PersonY's partner,impolite,xAttr,1
PersonX displeases PersonY's partner,quarrels with PersonY,xEffect,1
PersonX displeases PersonY's partner,fights with PersonY,xEffect,1
PersonX displeases PersonY's partner,tries to figure it out,xEffect,1
PersonX displeases PersonY's partner,is rude to relatives,xEffect,1
PersonX displeases PersonY's partner,gets punched,xEffect,1
PersonX displeases PersonY's partner,gets yelled at,xEffect,1
PersonX displeases PersonY's partner,to get back at person y,xIntent,1
PersonX displeases PersonY's partner,to insult the partner,xIntent,1
PersonX displeases PersonY's partner,to get back at PersonY,xIntent,1
PersonX displeases PersonY's partner,to make PersonY's partner angry,xIntent,1
PersonX displeases PersonY's partner,to say something offensive,xNeed,1
PersonX displeases PersonY's partner,to meet up with PersonY's partner,xNeed,1
PersonX displeases PersonY's partner,to know PersonY's partner,xNeed,1
PersonX displeases PersonY's partner,to have a disagreement,xNeed,1
PersonX displeases PersonY's partner,sad,xReact,1
PersonX displeases PersonY's partner,angry,xReact,1
PersonX displeases PersonY's partner,contempt,xReact,1
PersonX displeases PersonY's partner,haughty,xReact,1
PersonX displeases PersonY's partner,insufficient,xReact,1
PersonX displeases PersonY's partner,guilty,xReact,1
PersonX displeases PersonY's partner,satisfied,xReact,1
PersonX displeases PersonY's partner,full of themself,xReact,1
PersonX displeases PersonY's partner,to provide goods,xWant,1
PersonX displeases PersonY's partner,to clear things,xWant,1
PersonX displeases PersonY's partner,find out what happened,xWant,1
PersonX displeases PersonY's partner,apologize,xWant,1
PersonX displeases PersonY's partner,bring gifts,xWant,1
PersonX displeases PersonY's partner,to apologize,xWant,1
PersonX displeases PersonY's partner,to make an excuse,xWant,1
PersonX displeases PersonY's partner,to make amends,xWant,1
PersonX displeases PersonX's father,gets confronted,oEffect,1
PersonX displeases PersonX's father,loses a child,oEffect,1
PersonX displeases PersonX's father,ashamed,oReact,1
PersonX displeases PersonX's father,disappointed,oReact,1
PersonX displeases PersonX's father,annoyed,oReact,1
PersonX displeases PersonX's father,prevent the behavior in the future,oWant,1
PersonX displeases PersonX's father,voice their feelings,oWant,1
PersonX displeases PersonX's father,to yell at PersonX,oWant,1
PersonX displeases PersonX's father,to kick PersonX out,oWant,1
PersonX displeases PersonX's father,willful,xAttr,1
PersonX displeases PersonX's father,threatening,xAttr,1
PersonX displeases PersonX's father,angry,xAttr,1
PersonX displeases PersonX's father,apologetic,xAttr,1
PersonX displeases PersonX's father,repentant,xAttr,1
PersonX displeases PersonX's father,upset,xAttr,1
PersonX displeases PersonX's father,unmotivated,xAttr,1
PersonX displeases PersonX's father,rebellious,xAttr,1
PersonX displeases PersonX's father,independent,xAttr,1
PersonX displeases PersonX's father,gets in trouble,xEffect,1
PersonX displeases PersonX's father,gets disowned,xEffect,1
PersonX displeases PersonX's father,thinks of atoning for his mistake,xEffect,1
PersonX displeases PersonX's father,stresses about his relationship with his dad,xEffect,1
PersonX displeases PersonX's father,gets yelled at,xEffect,1
PersonX displeases PersonX's father,gets argued with,xEffect,1
PersonX displeases PersonX's father,do something upsetting,xNeed,1
PersonX displeases PersonX's father,make personX's father aware,xNeed,1
PersonX displeases PersonX's father,like a disappointment,xReact,1
PersonX displeases PersonX's father,like a failure,xReact,1
PersonX displeases PersonX's father,rejected,xReact,1
PersonX displeases PersonX's father,sad,xReact,1
PersonX displeases PersonX's father,ashamed,xReact,1
PersonX displeases PersonX's father,abashed,xReact,1
PersonX displeases PersonX's father,shameful,xReact,1
PersonX displeases PersonX's father,doen,xReact,1
PersonX displeases PersonX's father,to say sorry,xWant,1
PersonX displeases PersonX's father,to apologize,xWant,1
PersonX displeases PersonX's father,to make it right,xWant,1
PersonX displeases PersonX's father,to have a healthy relationship,xWant,1
PersonX displeases PersonX's father,apologize,xWant,1
PersonX displeases PersonX's father,explain,xWant,1
PersonX displeases PersonX's father,to stop talking to their father,xWant,1
PersonX displeases PersonX's father,to apologize,xWant,1
PersonX gives PersonY nothing,gets scored,oEffect,1
PersonX gives PersonY nothing,loses a friend,oEffect,1
PersonX gives PersonY nothing,offended,oReact,1
PersonX gives PersonY nothing,upset,oReact,1
PersonX gives PersonY nothing,cheated,oReact,1
PersonX gives PersonY nothing,slighted,oReact,1
PersonX gives PersonY nothing,needy,oReact,1
PersonX gives PersonY nothing,spurned,oReact,1
PersonX gives PersonY nothing,to punch personx,oWant,1
PersonX gives PersonY nothing,to cry,oWant,1
PersonX gives PersonY nothing,be appreciated,oWant,1
PersonX gives PersonY nothing,receive a gift,oWant,1
PersonX gives PersonY nothing,to take back what they gave PersonX,oWant,1
PersonX gives PersonY nothing,call out PersonX,oWant,1
PersonX gives PersonY nothing,cheap,xAttr,1
PersonX gives PersonY nothing,mean,xAttr,1
PersonX gives PersonY nothing,greedy,xAttr,1
PersonX gives PersonY nothing,selfish,xAttr,1
PersonX gives PersonY nothing,selfish,xAttr,1
PersonX gives PersonY nothing,unyielding,xAttr,1
PersonX gives PersonY nothing,stingy,xAttr,1
PersonX gives PersonY nothing,ungenerous,xAttr,1
PersonX gives PersonY nothing,gets asked for something,xEffect,1
PersonX gives PersonY nothing,gets scolded,xEffect,1
PersonX gives PersonY nothing,lets themselves down,xEffect,1
PersonX gives PersonY nothing,decides to learn for next time,xEffect,1
PersonX gives PersonY nothing,to slight PersonY,xIntent,1
PersonX gives PersonY nothing,to keep it all to themselves,xIntent,1
PersonX gives PersonY nothing,to save money,xIntent,1
PersonX gives PersonY nothing,to show them how much they love them,xIntent,1
PersonX gives PersonY nothing,to have more money,xIntent,1
PersonX gives PersonY nothing,to jeep y from being dependent,xIntent,1
PersonX gives PersonY nothing,mean,xReact,1
PersonX gives PersonY nothing,selfish,xReact,1
PersonX gives PersonY nothing,vindictive,xReact,1
PersonX gives PersonY nothing,greedy,xReact,1
PersonX gives PersonY nothing,they had good reasons,xReact,1
PersonX gives PersonY nothing,stingy,xReact,1
PersonX gives PersonY nothing,greedy,xReact,1
PersonX gives PersonY nothing,uncaring,xReact,1
PersonX gives PersonY nothing,to be greedy,xWant,1
PersonX gives PersonY nothing,save things,xWant,1
PersonX gives PersonY nothing,to leave persony,xWant,1
PersonX gives PersonY nothing,to upset persony,xWant,1
PersonX gives PersonY nothing,avoid pesonY,xWant,1
PersonX gives PersonY nothing,save money,xWant,1
PersonX gives PersonY nothing,to save money,xWant,1
PersonX gives PersonY nothing,to avoid PersonY,xWant,1
PersonX disagrees to try it,has to finish something themselves,oEffect,1
PersonX disagrees to try it,loses a friend,oEffect,1
PersonX disagrees to try it,convince personX,oWant,1
PersonX disagrees to try it,eat it themself,oWant,1
PersonX disagrees to try it,closed-minded,xAttr,1
PersonX disagrees to try it,hard to please,xAttr,1
PersonX disagrees to try it,set in their ways,xAttr,1
PersonX disagrees to try it,unadventurous,xAttr,1
PersonX disagrees to try it,argumentative,xAttr,1
PersonX disagrees to try it,cautious,xAttr,1
PersonX disagrees to try it,skeptical,xAttr,1
PersonX disagrees to try it,stubborn,xAttr,1
PersonX disagrees to try it,looks for something else to try,xEffect,1
PersonX disagrees to try it,find something else,xEffect,1
PersonX disagrees to try it,gets in trouble,xEffect,1
PersonX disagrees to try it,loses a friend,xEffect,1
PersonX disagrees to try it,makes a face of disgust,xEffect,1
PersonX disagrees to try it,spits it out,xEffect,1
PersonX disagrees to try it,to do something else,xIntent,1
PersonX disagrees to try it,to talk to someone first,xIntent,1
PersonX disagrees to try it,hear about it,xNeed,1
PersonX disagrees to try it,decide not to try it,xNeed,1
PersonX disagrees to try it,to know the situation,xNeed,1
PersonX disagrees to try it,to make a decision,xNeed,1
PersonX disagrees to try it,be offered something,xNeed,1
PersonX disagrees to try it,be disinterested,xNeed,1
PersonX disagrees to try it,went to store,xNeed,1
PersonX disagrees to try it,though about making a purchase,xNeed,1
PersonX disagrees to try it,sad,xReact,1
PersonX disagrees to try it,cautious,xReact,1
PersonX disagrees to try it,afraid,xReact,1
PersonX disagrees to try it,scared,xReact,1
PersonX disagrees to try it,discerning,xReact,1
PersonX disagrees to try it,careful,xReact,1
PersonX disagrees to try it,unhappy,xReact,1
PersonX disagrees to try it,unsatisfied,xReact,1
PersonX disagrees to try it,avoid it,xWant,1
PersonX disagrees to try it,try something else,xWant,1
PersonX disagrees to try it,to try new things,xWant,1
PersonX disagrees to try it,to take a step,xWant,1
PersonX disagrees to try it,avoid trying it,xWant,1
PersonX disagrees to try it,have something else instead,xWant,1
PersonX disagrees to try it,to find a product that better fits needs,xWant,1
PersonX disagrees to try it,wait on buying anything,xWant,1
PersonX wallows in failure,depressed,xAttr,1
PersonX wallows in failure,ineffective,xAttr,1
PersonX wallows in failure,hopeless,xAttr,1
PersonX wallows in failure,agitated,xAttr,1
PersonX wallows in failure,confused,xAttr,1
PersonX wallows in failure,depressed,xEffect,1
PersonX wallows in failure,angry,xEffect,1
PersonX wallows in failure,doesn't go out,xEffect,1
PersonX wallows in failure,stays at home all day,xEffect,1
PersonX wallows in failure,to fail a lot,xNeed,1
PersonX wallows in failure,to have courage,xNeed,1
PersonX wallows in failure,sad,xReact,1
PersonX wallows in failure,disappointed,xReact,1
PersonX wallows in failure,depressed,xReact,1
PersonX wallows in failure,mourn the loss,xWant,1
PersonX wallows in failure,be alone,xWant,1
PersonX wallows in failure,to work hard,xWant,1
PersonX wallows in failure,to find a job,xWant,1
PersonX gets a ride home without PersonY,looks for personx,oEffect,1
PersonX gets a ride home without PersonY,calls personx's phone,oEffect,1
PersonX gets a ride home without PersonY,unwanted,oReact,1
PersonX gets a ride home without PersonY,discarded,oReact,1
PersonX gets a ride home without PersonY,to find a different ride home,oWant,1
PersonX gets a ride home without PersonY,hitch a ride,oWant,1
PersonX gets a ride home without PersonY,capable,xAttr,1
PersonX gets a ride home without PersonY,savvy,xAttr,1
PersonX gets a ride home without PersonY,selfish,xAttr,1
PersonX gets a ride home without PersonY,stingy,xAttr,1
PersonX gets a ride home without PersonY,remember persony is left behind,xEffect,1
PersonX gets a ride home without PersonY,goes back,xEffect,1
PersonX gets a ride home without PersonY,to be away from PersonY,xIntent,1
PersonX gets a ride home without PersonY,to be separate from PersonY,xIntent,1
PersonX gets a ride home without PersonY,to ask someone else for a ride,xNeed,1
PersonX gets a ride home without PersonY,to get someone to pity them,xNeed,1
PersonX gets a ride home without PersonY,relieved,xReact,1
PersonX gets a ride home without PersonY,relaxed,xReact,1
PersonX gets a ride home without PersonY,lonely,xReact,1
PersonX gets a ride home without PersonY,sad,xReact,1
PersonX gets a ride home without PersonY,to get more rides to places,xWant,1
PersonX gets a ride home without PersonY,to ignore PersonY,xWant,1
PersonX gets a ride home without PersonY,to leave persony,xWant,1
PersonX gets a ride home without PersonY,leave persony in the dark,xWant,1
PersonX has no luck in online auctions,unable to get through to PersonX,oEffect,1
PersonX has no luck in online auctions,has to give up on another sale,oEffect,1
PersonX has no luck in online auctions,unlucky,xAttr,1
PersonX has no luck in online auctions,thick,xAttr,1
PersonX has no luck in online auctions,sad,xAttr,1
PersonX has no luck in online auctions,upset,xAttr,1
PersonX has no luck in online auctions,they don't get the item,xEffect,1
PersonX has no luck in online auctions,gets outbid for the item they wanted,xEffect,1
PersonX has no luck in online auctions,gets contacted by the seller,xEffect,1
PersonX has no luck in online auctions,to not research,xNeed,1
PersonX has no luck in online auctions,to bid on the wrong things,xNeed,1
PersonX has no luck in online auctions,sad,xReact,1
PersonX has no luck in online auctions,unhappy,xReact,1
PersonX has no luck in online auctions,unlucky,xReact,1
PersonX has no luck in online auctions,wasted,xReact,1
PersonX has no luck in online auctions,learn to bid better,xWant,1
PersonX has no luck in online auctions,give up,xWant,1
PersonX has no luck in online auctions,to win for once,xWant,1
PersonX has no luck in online auctions,get a great deal,xWant,1
PersonX denies PersonY power,does not have anymore duties,oEffect,1
PersonX denies PersonY power,gets exiled,oEffect,1
PersonX denies PersonY power,cruel,xAttr,1
PersonX denies PersonY power,heartless,xAttr,1
PersonX denies PersonY power,controlling,xAttr,1
PersonX denies PersonY power,self-centered,xAttr,1
PersonX denies PersonY power,gets rebelled against,xEffect,1
PersonX denies PersonY power,gets obeyed,xEffect,1
PersonX denies PersonY power,to take a strong stance,xNeed,1
PersonX denies PersonY power,to stand up to PersonY,xNeed,1
PersonX denies PersonY power,sad,xReact,1
PersonX denies PersonY power,unhappy,xReact,1
PersonX denies PersonY power,powerful,xReact,1
PersonX denies PersonY power,rude,xReact,1
PersonX denies PersonY power,to send PersonY away,xWant,1
PersonX denies PersonY power,to remain strong,xWant,1
PersonX denies PersonY power,to see what they could do,xWant,1
PersonX denies PersonY power,to punish them,xWant,1
PersonX completely avoids PersonY,loses a friend,oEffect,1
PersonX completely avoids PersonY,does not run into PersonX,oEffect,1
PersonX completely avoids PersonY,rejected,oReact,1
PersonX completely avoids PersonY,alone,oReact,1
PersonX completely avoids PersonY,to follow personX,oWant,1
PersonX completely avoids PersonY,to approach personX,oWant,1
PersonX completely avoids PersonY,elusive,xAttr,1
PersonX completely avoids PersonY,slippery,xAttr,1
PersonX completely avoids PersonY,ignorant,xAttr,1
PersonX completely avoids PersonY,anti social,xAttr,1
PersonX completely avoids PersonY,move away from y,xEffect,1
PersonX completely avoids PersonY,go to peaceful place,xEffect,1
PersonX completely avoids PersonY,gets a call,xEffect,1
PersonX completely avoids PersonY,gets chased,xEffect,1
PersonX completely avoids PersonY,to be alone,xIntent,1
PersonX completely avoids PersonY,to break things off,xIntent,1
PersonX completely avoids PersonY,to stay away from the other person,xIntent,1
PersonX completely avoids PersonY,be around someone else,xIntent,1
PersonX completely avoids PersonY,wary,xReact,1
PersonX completely avoids PersonY,uncomfortable,xReact,1
PersonX completely avoids PersonY,annoyed,xReact,1
PersonX completely avoids PersonY,to go somewhere else,xWant,1
PersonX completely avoids PersonY,to find a different friend,xWant,1
PersonX completely avoids PersonY,to let y down,xWant,1
PersonX completely avoids PersonY,wants to be alone,xWant,1
PersonX has no effect on PersonY,yawns,oEffect,1
PersonX has no effect on PersonY,falls asleep,oEffect,1
PersonX has no effect on PersonY,impotent,xAttr,1
PersonX has no effect on PersonY,unremarkable,xAttr,1
PersonX has no effect on PersonY,forgettable,xAttr,1
PersonX has no effect on PersonY,nondescript,xAttr,1
PersonX has no effect on PersonY,gets insulted,xEffect,1
PersonX has no effect on PersonY,gets criticism,xEffect,1
PersonX has no effect on PersonY,bored,xReact,1
PersonX has no effect on PersonY,indifferent,xReact,1
PersonX has no effect on PersonY,frustrated,xReact,1
PersonX has no effect on PersonY,impotent,xReact,1
PersonX has no effect on PersonY,useless,xReact,1
PersonX has no effect on PersonY,to be a good person,xWant,1
PersonX has no effect on PersonY,not cause problems for personY,xWant,1
PersonX has no effect on PersonY,to get the attention of Y,xWant,1
PersonX has no effect on PersonY,to talk to Y,xWant,1
PersonX avoids personY for the time,is remorseful,oEffect,1
PersonX avoids personY for the time,is alone,oEffect,1
PersonX avoids personY for the time,rejected,oReact,1
PersonX avoids personY for the time,alone,oReact,1
PersonX avoids personY for the time,to find PersonX,oWant,1
PersonX avoids personY for the time,to ask around about PersonX,oWant,1
PersonX avoids personY for the time,distant,xAttr,1
PersonX avoids personY for the time,impolite,xAttr,1
PersonX avoids personY for the time,upset,xAttr,1
PersonX avoids personY for the time,PersonX ask help to PersonY,xEffect,1
PersonX avoids personY for the time,PersonY refuse to do help,xEffect,1
PersonX avoids personY for the time,to be alone,xIntent,1
PersonX avoids personY for the time,to punish person y for their behavior,xIntent,1
PersonX avoids personY for the time,to hide in the back of the room,xNeed,1
PersonX avoids personY for the time,turn their head away,xNeed,1
PersonX avoids personY for the time,lonely,xReact,1
PersonX avoids personY for the time,uncared for,xReact,1
PersonX avoids personY for the time,angry,xReact,1
PersonX avoids personY for the time,hostile,xReact,1
PersonX avoids personY for the time,to not be delayed,xWant,1
PersonX avoids personY for the time,to arrive on time,xWant,1
PersonX avoids personY for the time,to be approved,xWant,1
PersonX avoids personY for the time,to  sure,xWant,1
PersonX dislikes PersonX's grandparents,upset,oReact,1
PersonX dislikes PersonX's grandparents,regret,oReact,1
PersonX dislikes PersonX's grandparents,scared,xAttr,1
PersonX dislikes PersonX's grandparents,sick,xAttr,1
PersonX dislikes PersonX's grandparents,judgemental,xAttr,1
PersonX dislikes PersonX's grandparents,cold,xAttr,1
PersonX dislikes PersonX's grandparents,to be mean,xIntent,1
PersonX dislikes PersonX's grandparents,to be ungrateful,xIntent,1
PersonX dislikes PersonX's grandparents,to see grandparents,xNeed,1
PersonX dislikes PersonX's grandparents,to talk to the grandparents,xNeed,1
PersonX dislikes PersonX's grandparents,nasty,xReact,1
PersonX dislikes PersonX's grandparents,aggressive,xReact,1
PersonX dislikes PersonX's grandparents,sad,xReact,1
PersonX dislikes PersonX's grandparents,unhappy,xReact,1
PersonX dislikes PersonX's grandparents,keep away,xWant,1
PersonX dislikes PersonX's grandparents,avoid them,xWant,1
PersonX dislikes PersonX's grandparents,to finish the work,xWant,1
PersonX dislikes PersonX's grandparents,to earn money,xWant,1
PersonX opposes PersonY,Y storms out,oEffect,1
PersonX opposes PersonY,Y drives away,oEffect,1
PersonX opposes PersonY,gets questioned,oEffect,1
PersonX opposes PersonY,gets queried,oEffect,1
PersonX opposes PersonY,set upon,oReact,1
PersonX opposes PersonY,upset,oReact,1
PersonX opposes PersonY,attacked,oReact,1
PersonX opposes PersonY,hostile,oReact,1
PersonX opposes PersonY,to argue,oWant,1
PersonX opposes PersonY,to contradict them,oWant,1
PersonX opposes PersonY,antagonistic,xAttr,1
