p,q,r,output
PersonX uses PersonY's laptop,Doesn't apologize to persony,oReact,0
PersonX does not call PersonX's kids,to have their own space,xAttr,0
PersonX does not call PersonX's kids,don't have their own space,xAttr,0
PersonX calls PersonX's kids,don't have their own space,xAttr,0
PersonX does not say bye,rushed,xWant,0
PersonX does not say bye,Didn't rush,xWant,0
PersonX says bye,Didn't rush,xWant,0
PersonX is not at the lake with PersonX's family,relaxed,xIntent,0
PersonX is not at the lake with PersonX's family,Didn't relax,xIntent,0
PersonX is at the lake with PersonX's family,Didn't relax,xIntent,0
PersonX does not bore PersonY a son,lazy,xWant,0
PersonX does not bore PersonY a son,not lazy,xWant,0
PersonX bores PersonY a son,not lazy,xWant,0
PersonX does not buy it for PersonY,humane,oReact,0
PersonX does not buy it for PersonY,not humane,oReact,0
PersonX does buy it for PersonY,not humane,oReact,0
PersonX does not give PersonY employment,to think of ways to reconnect with old friends,xAttr,0
PersonX does not give PersonY employment,don't think of ways to reconnect with old friends,xAttr,0
PersonX gives PersonY employment,don't think of ways to reconnect with old friends,xAttr,0
PersonX does not hit PersonY on the head,to conserve their energy,xAttr,0
PersonX does not hit PersonY on the head,don't conserve their energy,xAttr,0
PersonX hits PersonY on the head,don't conserve their energy,xAttr,0
PersonX does not listen to PersonY's music,hateful,oReact,0
PersonX does not listen to PersonY's music,not hateful,oReact,0
PersonX listens to PersonY's music,not hateful,oReact,0
PersonX does not love PersonY's mom,Gets promoted,xWant,0
PersonX does not love PersonY's mom,Gets promote,xWant,0
PersonX loves PersonY's mom,Gets promote,xWant,0
PersonX does not create PersonY atmosphere,misunderstood,xAttr,0
PersonX does not create PersonY atmosphere,not misunderstood,xAttr,0
PersonX creates PersonY atmosphere,not misunderstood,xAttr,0
PersonX does not put it in PersonX's pocket,happy,xIntent,0
PersonX does not put it in PersonX's pocket,not happy,xIntent,0
PersonX does put it in PersonX's pocket,not happy,xIntent,0
PersonX doesn't want to play with PersonX's dad,negligent,xEffect,0
PersonX doesn't want to play with PersonX's dad,not negligent,xEffect,0
PersonX wants to play with PersonX's dad,not negligent,xEffect,0
PersonX does not get PersonY's bike,loses opportunity,xAttr,0
PersonX does not get PersonY's bike,Doesn't lose opportunity,xAttr,0
PersonX gets PersonY's bike,Doesn't lose opportunity,xAttr,0
PersonX does not call PersonY's office,standoffish,oWant,0
PersonX does not call PersonY's office,not standoffish,oWant,0
PersonX calls PersonY's office,not standoffish,oWant,0
PersonX does not cup PersonY's cheek,independent,xWant,0
PersonX does not cup PersonY's cheek,not independent,xWant,0
PersonX cups PersonY's cheek,not independent,xWant,0
PersonX does not accept the dare,tells friends,xIntent,0
PersonX does not accept the dare,Doesn't tell friends,xIntent,0
PersonX accepts the dare,Doesn't tell friends,xIntent,0
PersonX does not sling over PersonY's shoulder,to tell the maid to fix some food,xIntent,0
PersonX does not sling over PersonY's shoulder,don't tell the maid to fix some food,xIntent,0
PersonX slings over PersonY's shoulder,don't tell the maid to fix some food,xIntent,0
PersonX doesn't place PersonY on the table,get advice somewhere else,oEffect,0
PersonX doesn't place PersonY on the table,Don't get advice somewhere else,oEffect,0
PersonX places PersonY on the table,Don't get advice somewhere else,oEffect,0
PersonX does not tear PersonY's eyes,to meet their online friends,xWant,0
PersonX does not tear PersonY's eyes,don't meet their online friends,xWant,0
PersonX tears PersonY's eyes,don't meet their online friends,xWant,0
PersonX does not believe PersonY,is doubted,xWant,0
PersonX does not believe PersonY,Isn't doubted,xWant,0
PersonX believes PersonY,Isn't doubted,xWant,0
PersonX doesn't tell PersonY anything.,cowardly,xWant,0
PersonX doesn't tell PersonY anything.,not cowardly,xWant,0
PersonX does tell PersonY anything.,not cowardly,xWant,0
PersonX does not take PersonY to the zoo,proud,xIntent,0
PersonX does not take PersonY to the zoo,not proud,xIntent,0
PersonX takes PersonY to the zoo,not proud,xIntent,0
PersonX does not love PersonY back,to cancel the wedding,oEffect,0
PersonX does not love PersonY back,don't cancel the wedding,oEffect,0
PersonX loves PersonY back,don't cancel the wedding,oEffect,0
PersonX did not fix PersonY's wagon,embarassed,oReact,0
PersonX did not fix PersonY's wagon,not Embarass,oReact,0
PersonX fixed PersonY's wagon,not Embarass,oReact,0
PersonX does not celebrate the new year,frowns,xWant,0
PersonX does not celebrate the new year,Doesn't frown,xWant,0
PersonX celebrates the new year,Doesn't frown,xWant,0
PersonX does not leave PersonY behind,mean,xReact,0
PersonX does not leave PersonY behind,Don't mean,xReact,0
PersonX leaves PersonY behind,Don't mean,xReact,0
PersonX does not make PersonY sacrifice,to cancel the event,oWant,0
PersonX does not make PersonY sacrifice,don't cancel the event,oWant,0
PersonX makes PersonY sacrifice,don't cancel the event,oWant,0
PersonX doesn't know PersonY at all,to check on the kids,xAttr,0
PersonX doesn't know PersonY at all,don't check on the kids,xAttr,0
PersonX knows PersonY at all,don't check on the kids,xAttr,0
PersonX does not hold the ring,nervous,xIntent,0
PersonX does not hold the ring,not nervous,xIntent,0
PersonX holds the ring,not nervous,xIntent,0
PersonX does not give the speech,PersonY not to go on the trip,xEffect,0
PersonX does not give the speech,PersonY not to don't go on the trip,xEffect,0
PersonX gives the speech,PersonY not to don't go on the trip,xEffect,0
PersonX does not put PersonY's money,be asked for help,xIntent,0
PersonX does not put PersonY's money,Be ask for help,xIntent,0
PersonX puts PersonY's money,Be ask for help,xIntent,0
PersonX does not play a game of chess,envious,xReact,0
PersonX does not play a game of chess,not envious,xReact,0
PersonX plays a game of chess,not envious,xReact,0
PersonX does not charge at PersonY,has an empty seat in their group,xReact,0
PersonX does not charge at PersonY,Doesn't have an empty seat in their group,xReact,0
PersonX charges at PersonY,Doesn't have an empty seat in their group,xReact,0
PersonX does not keep PersonY awake,tired,xReact,0
PersonX does not keep PersonY awake,not tired,xReact,0
PersonX keeps PersonY awake,not tired,xReact,0
PersonX does not attend PersonY meeting,does other things,xReact,0
PersonX does not attend PersonY meeting,Doesn't do other things,xReact,0
PersonX attends PersonY meeting,Doesn't do other things,xReact,0
PersonX does not have the last laugh,unhappy,xWant,0
PersonX does not have the last laugh,not unhappy,xWant,0
PersonX has the last laugh,not unhappy,xWant,0
PersonX does not buy PersonY's own shoes,Rejected,oEffect,0
PersonX does not buy PersonY's own shoes,not Reject,oEffect,0
PersonX buys PersonY's own shoes,not Reject,oEffect,0
PersonX would not help PersonY,cries,xIntent,0
PersonX would not help PersonY,Doesn't cry,xIntent,0
PersonX would help PersonY,Doesn't cry,xIntent,0
PersonX is not PersonY's date,got disappointment,xAttr,0
PersonX is not PersonY's date,Didn't get disappointment,xAttr,0
PersonX is PersonY's date,Didn't get disappointment,xAttr,0
PersonX does not give PersonY employment,to teach PersonY,xReact,0
PersonX does not give PersonY employment,don't teach PersonY,xReact,0
PersonX gives PersonY employment,don't teach PersonY,xReact,0
PersonX does not pull PersonY closer to PersonY,sad,xWant,0
PersonX does not pull PersonY closer to PersonY,not sad,xWant,0
PersonX pulls PersonY closer to PersonY,not sad,xWant,0
PersonX does not assume PersonY role,nervous,xAttr,0
PersonX does not assume PersonY role,not nervous,xAttr,0
PersonX assumes PersonY role,not nervous,xAttr,0
PersonX doesn't preserve PersonX's independence,secretive,xEffect,0
PersonX doesn't preserve PersonX's independence,not secretive,xEffect,0
PersonX preserves PersonX's independence,not secretive,xEffect,0
PersonX does not divorce PersonY,careful,oWant,0
PersonX does not divorce PersonY,not careful,oWant,0
PersonX divorces PersonY,not careful,oWant,0
PersonX decides not to get involved.,unconsciously performs poorly,xNeed,0
PersonX decides not to get involved.,Unconsciously doesn't perform poorly,xNeed,0
PersonX decideses to get involved.,Unconsciously doesn't perform poorly,xNeed,0
PersonX does not fight for PersonY's lives,lack of interest,xAttr,0
PersonX does not fight for PersonY's lives,not lack of interest,xAttr,0
PersonX fights for PersonY's lives,not lack of interest,xAttr,0
PersonX does not find PersonY,"To sew, not knit",xReact,0
PersonX does not find PersonY,"To sew , knit",xReact,0
PersonX finds PersonY,"To sew , knit",xReact,0
PersonX does not tell PersonY to sit,move away from person,oReact,0
PersonX does not tell PersonY to sit,Don't move away from person,oReact,0
PersonX tells PersonY to sit,Don't move away from person,oReact,0
PersonX does not love PersonY still,avoid offering support,oWant,0
PersonX does not love PersonY still,Don't avoid offering support,oWant,0
PersonX loves PersonY still,Don't avoid offering support,oWant,0
PersonX does not talk.,irresponsible,xReact,0
PersonX does not talk.,not irresponsible,xReact,0
PersonX talks.,not irresponsible,xReact,0
PersonX does not cash PersonY's check,to go to office,oWant,0
PersonX does not cash PersonY's check,don't go to office,oWant,0
PersonX cashes PersonY's check,don't go to office,oWant,0
PersonX does not open PersonX's presents,helpless,xWant,0
PersonX does not open PersonX's presents,not helpless,xWant,0
PersonX opens PersonX's presents,not helpless,xWant,0
PersonX does not call PersonY over,PersonY to get in bed,xIntent,0
PersonX does not call PersonY over,PersonY to don't get in bed,xIntent,0
PersonX calls PersonY over,PersonY to don't get in bed,xIntent,0
PersonX does not cut PersonY's hair very short,To have a baby,oReact,0
PersonX does not cut PersonY's hair very short,don't have a baby,oReact,0
PersonX cuts PersonY's hair very short,don't have a baby,oReact,0
PersonX does not take PersonY's hands,Has to explain why he chose to not recruit Y,xReact,0
PersonX does not take PersonY's hands,Hases to explain why he chose to recruit Y,xReact,0
PersonX takes PersonY's hands,Hases to explain why he chose to recruit Y,xReact,0
PersonX does not give PersonY the best,to make money,xWant,0
PersonX does not give PersonY the best,don't make money,xWant,0
PersonX gives PersonY the best,don't make money,xWant,0
PersonX does not love to go fishing,to pack their things,xAttr,0
PersonX does not love to go fishing,don't pack their things,xAttr,0
PersonX loves to go fishing,don't pack their things,xAttr,0
PersonX does not call PersonY's father,upset,xIntent,0
PersonX does not call PersonY's father,Don't upset,xIntent,0
PersonX calls PersonY's father,Don't upset,xIntent,0
PersonX does not accept the dare,weak,xAttr,0
PersonX does not accept the dare,not weak,xAttr,0
PersonX accepts the dare,not weak,xAttr,0
PersonX does not help others,careless,oEffect,0
PersonX does not help others,not careless,oEffect,0
PersonX helps others,not careless,oEffect,0
PersonX does not push PersonY's way,uninvested,xIntent,0
PersonX does not push PersonY's way,not Uninvest,xIntent,0
PersonX pushes PersonY's way,not Uninvest,xIntent,0
PersonX does not point a gun at PersonY,lazy,xReact,0
PersonX does not point a gun at PersonY,not lazy,xReact,0
PersonX points a gun at PersonY,not lazy,xReact,0
PersonX does not change PersonX's hair color,contemptuous,xEffect,0
PersonX does not change PersonX's hair color,not contemptuous,xEffect,0
PersonX changes PersonX's hair color,not contemptuous,xEffect,0
PersonX doesn't have friends,relieved,xWant,0
PersonX doesn't have friends,Didn't relieve,xWant,0
PersonX has friends,Didn't relieve,xWant,0
PersonX does not raise PersonY's hands,got afraid,xWant,0
PersonX does not raise PersonY's hands,Didn't get afraid,xWant,0
PersonX raises PersonY's hands,Didn't get afraid,xWant,0
PersonX does not move to mexico,PersonX avoids arrest,oReact,0
PersonX does not move to mexico,PersonX doesn't avoid arrest,oReact,0
PersonX moves to mexico,PersonX doesn't avoid arrest,oReact,0
PersonX is not so much fun,good,xAttr,0
PersonX is not so much fun,not good,xAttr,0
PersonX is so much fun,not good,xAttr,0
PersonX did not also take PersonY,to tell PersonY that this is a warning,oWant,0
PersonX did not also take PersonY,To tell PersonY that this isn't a warning,oWant,0
PersonX also took PersonY,To tell PersonY that this isn't a warning,oWant,0
PersonX does not let PersonY stay,content,xWant,0
PersonX does not let PersonY stay,not content,xWant,0
PersonX lets PersonY stay,not content,xWant,0
PersonX does not take good care of PersonY,at peace,xWant,0
PersonX does not take good care of PersonY,not at peace,xWant,0
PersonX takes good care of PersonY,not at peace,xWant,0
PersonX does not comfort PersonY,to slap personx,oWant,0
PersonX does not comfort PersonY,don't slap personx,oWant,0
PersonX comforts PersonY,don't slap personx,oWant,0
PersonX does not ask PersonY anything,like they let people down,xReact,0
PersonX does not ask PersonY anything,Like they don't let people down,xReact,0
PersonX does ask PersonY anything,Like they don't let people down,xReact,0
PersonX does not make eye contact with PersonY.,to plan their next move,xWant,0
PersonX does not make eye contact with PersonY.,don't plan their next move,xWant,0
PersonX makes eye contact with PersonY.,don't plan their next move,xWant,0
PersonX does not go to PersonY's friend's house,excited,xNeed,0
PersonX does not go to PersonY's friend's house,not Excite,xNeed,0
PersonX goes to PersonY's friend's house,not Excite,xNeed,0
PersonX does not live with PersonX's father,to make other plans,xIntent,0
PersonX does not live with PersonX's father,don't make other plans,xIntent,0
PersonX lives with PersonX's father,don't make other plans,xIntent,0
PersonX does not pay PersonY's electric bill,hurt,xAttr,0
PersonX does not pay PersonY's electric bill,Don't hurt,xAttr,0
PersonX pays PersonY's electric bill,Don't hurt,xAttr,0
PersonX does not get some candy,want to do something,xNeed,0
PersonX does not get some candy,Don't want to do something,xNeed,0
PersonX gets some candy,Don't want to do something,xNeed,0
PersonX does not place PersonY on the table,turns red from embarrassment,xIntent,0
PersonX does not place PersonY on the table,Doesn't turn red from embarrassment,xIntent,0
PersonX places PersonY on the table,Doesn't turn red from embarrassment,xIntent,0
PersonX does not invite PersonX's friend over,uninterested,xAttr,0
PersonX does not invite PersonX's friend over,not uninterested,xAttr,0
PersonX invites PersonX's friend over,not uninterested,xAttr,0
PersonX does not want to marry PersonY,maintain privacy,xEffect,0
PersonX does not want to marry PersonY,Don't maintain privacy,xEffect,0
PersonX wants to marry PersonY,Don't maintain privacy,xEffect,0
PersonX does not contribute to PersonY understanding,to stay with their current employer,xIntent,0
PersonX does not contribute to PersonY understanding,don't stay with their current employer,xIntent,0
PersonX contributes to PersonY understanding,don't stay with their current employer,xIntent,0
PersonX does not borrow some money,safety conscious,xWant,0
PersonX does not borrow some money,not safety conscious,xWant,0
PersonX borrows some money,not safety conscious,xWant,0
PersonX does not meet PersonY's sister,to develop a mission,xReact,0
PersonX does not meet PersonY's sister,don't develop a mission,xReact,0
PersonX meets PersonY's sister,don't develop a mission,xReact,0
PersonX does not walk up to PersonY,to find another calling,xAttr,0
PersonX does not walk up to PersonY,don't find another calling,xAttr,0
PersonX walks up to PersonY,don't find another calling,xAttr,0
PersonX does not kick the man,liked he saved,xWant,0
PersonX does not kick the man,Didn't like he saved,xWant,0
PersonX kicks the man,Didn't like he saved,xWant,0
PersonX did not fix the leak,be their own trainer,xReact,0
PersonX did not fix the leak,Don't be their own trainer,xReact,0
PersonX fixed the leak,Don't be their own trainer,xReact,0
PersonX warns PersonY not to go.,goes to england,xWant,0
PersonX warns PersonY not to go.,Doesn't go to england,xWant,0
PersonX warnses PersonY to go.,Doesn't go to england,xWant,0
PersonX tells PersonY to not go out in the rain,happy,xReact,0
PersonX tells PersonY to not go out in the rain,not happy,xReact,0
PersonX tellses PersonY to go out in the rain,not happy,xReact,0
PersonX is not angry at PersonY,Doesn't want to upset person y,oReact,0
PersonX is not angry at PersonY,Wants to upset person y,oReact,0
PersonX is angry at PersonY,Wants to upset person y,oReact,0
PersonX does not ask what was wrong,not observant,xIntent,0
PersonX does not ask what was wrong,not not observant,xIntent,0
PersonX does ask what was wrong,not not observant,xIntent,0
PersonX does not serve it to PersonY,apologetic,xIntent,0
PersonX does not serve it to PersonY,not apologetic,xIntent,0
PersonX does serve it to PersonY,not apologetic,xIntent,0
PersonX does not give PersonY the information,wary,oEffect,0
PersonX does not give PersonY the information,not wary,oEffect,0
PersonX gives PersonY the information,not wary,oEffect,0
PersonX did not also take PersonY,to get more tools,xIntent,0
PersonX did not also take PersonY,don't get more tools,xIntent,0
PersonX also took PersonY,don't get more tools,xIntent,0
PersonX does not pay for PersonY,to hang out longer,xWant,0
PersonX does not pay for PersonY,don't hang out longer,xWant,0
PersonX pays for PersonY,don't hang out longer,xWant,0
PersonX does not keep PersonY in,untrusting,oReact,0
PersonX does not keep PersonY in,not Untrust,oReact,0
PersonX keeps PersonY in,not Untrust,oReact,0
PersonX does not give PersonY a book,to be happy,xIntent,0
PersonX does not give PersonY a book,don't be happy,xIntent,0
PersonX gives PersonY a book,don't be happy,xIntent,0
PersonX does not manage to win,to help put the fire out,xAttr,0
PersonX does not manage to win,don't help put the fire out,xAttr,0
PersonX manages to win,don't help put the fire out,xAttr,0
PersonX does not call PersonY's mom,away,xAttr,0
PersonX does not call PersonY's mom,not away,xAttr,0
PersonX calls PersonY's mom,not away,xAttr,0
Person Y does not care about Person X,keep hands to themselves,xReact,0
Person Y does not care about Person X,Don't keep hands to themselves,xReact,0
Person Y cares about Person X,Don't keep hands to themselves,xReact,0
PersonX does not watch it together,content that they saved money,oReact,0
PersonX does not watch it together,Content that they didn't save money,oReact,0
PersonX does watch it together,Content that they didn't save money,oReact,0
PersonX does not do PersonY's hair,pleased,oEffect,0
PersonX does not do PersonY's hair,Didn't please,oEffect,0
PersonX does PersonY's hair,Didn't please,oEffect,0
PersonX does not play professional football,to eat alone,xReact,0
PersonX does not play professional football,don't eat alone,xReact,0
PersonX plays professional football,don't eat alone,xReact,0
PersonX does not play it straight,mean,xEffect,0
PersonX does not play it straight,Don't mean,xEffect,0
PersonX does play it straight,Don't mean,xEffect,0
PersonX is not at the grocery store with PersonY's mom,They don't go out with person y,xAttr,0
PersonX is not at the grocery store with PersonY's mom,They go out with person y,xAttr,0
PersonX is at the grocery store with PersonY's mom,They go out with person y,xAttr,0
PersonX does not take action against PersonY,Busy,xWant,0
PersonX does not take action against PersonY,not Busy,xWant,0
PersonX takes action against PersonY,not Busy,xWant,0
PersonX does not surprise PersonX's boyfriend,lazy,xWant,0
PersonX does not surprise PersonX's boyfriend,not lazy,xWant,0
PersonX surprises PersonX's boyfriend,not lazy,xWant,0
PersonX does not open presents,to meet with PersonY,xAttr,0
PersonX does not open presents,don't meet with PersonY,xAttr,0
PersonX opens presents,don't meet with PersonY,xAttr,0
PersonX does not rob the cradle,to hate each other,xAttr,0
PersonX does not rob the cradle,don't hate each other,xAttr,0
PersonX robs the cradle,don't hate each other,xAttr,0
PersonX does not visit some friends,avoided,xIntent,0
PersonX does not visit some friends,not Avoid,xIntent,0
PersonX visits some friends,not Avoid,xIntent,0
PersonX is not 9 months pregnant,forgetfull,xReact,0
PersonX is not 9 months pregnant,Don't forgetfull,xReact,0
PersonX is 9 months pregnant,Don't forgetfull,xReact,0
PersonX does not pass PersonY act,order somewhere else,oWant,0
PersonX does not pass PersonY act,not order somewhere else,oWant,0
PersonX passes PersonY act,not order somewhere else,oWant,0
PersonX does not do text messages,accept the answer,xIntent,0
PersonX does not do text messages,Don't accept the answer,xIntent,0
PersonX does text messages,Don't accept the answer,xIntent,0
PersonX does not tell PersonY what was going on,at ease,xWant,0
PersonX does not tell PersonY what was going on,not at ease,xWant,0
PersonX does tell PersonY what was going on,not at ease,xWant,0
PersonX does not get rid of PersonY,prepared,xIntent,0
PersonX does not get rid of PersonY,Didn't prepare,xIntent,0
PersonX gets rid of PersonY,Didn't prepare,xIntent,0
PersonX does not talk to PersonX's parents,to apologize,oReact,0
PersonX does not talk to PersonX's parents,don't apologize,oReact,0
PersonX talks to PersonX's parents,don't apologize,oReact,0
PersonX does not keep it in PersonX's pants,boring,xEffect,0
PersonX does not keep it in PersonX's pants,not Bore,xEffect,0
PersonX does keep it in PersonX's pants,not Bore,xEffect,0
PersonX does not ask PersonY thought,not creative,xAttr,0
PersonX does not ask PersonY thought,not not creative,xAttr,0
PersonX asks PersonY thought,not not creative,xAttr,0
PersonX does not tell PersonX's friends about it,go home,xReact,0
PersonX does not tell PersonX's friends about it,Don't go home,xReact,0
PersonX does tell PersonX's friends about it,Don't go home,xReact,0
PersonX does not give PersonY PersonX's hand,rude,xReact,0
PersonX does not give PersonY PersonX's hand,not rude,xReact,0
PersonX gives PersonY PersonX's hand,not rude,xReact,0
PersonX does not give PersonY the information,to decide it is not in the cards,xEffect,0
PersonX does not give PersonY the information,To decide it is in the cards,xEffect,0
PersonX gives PersonY the information,To decide it is in the cards,xEffect,0
PersonX does not open PersonY's mouth,to save on costs,oReact,0
PersonX does not open PersonY's mouth,don't save on costs,oReact,0
PersonX opens PersonY's mouth,don't save on costs,oReact,0
PersonX does not lose PersonY's phone,unappreciative,xReact,0
PersonX does not lose PersonY's phone,not unappreciative,xReact,0
PersonX loses PersonY's phone,not unappreciative,xReact,0
PersonX does not get PersonY's stuff,to earn more money,oReact,0
PersonX does not get PersonY's stuff,don't earn more money,oReact,0
PersonX gets PersonY's stuff,don't earn more money,oReact,0
PersonX does not invite PersonX's friend over,demand a refund for the poor job,xIntent,0
PersonX does not invite PersonX's friend over,Don't demand a refund for the poor job,xIntent,0
PersonX invites PersonX's friend over,Don't demand a refund for the poor job,xIntent,0
